true_plate,true_make,true_model,true_colour,reg_status
DL01EF0070,Kia,Seltos,Black,ACTIVE
HR26EF0071,Maruti Suzuki,Swift,Grey,ACTIVE
DL01IJ0072,Tata,Punch,Red,ACTIVE
HR26GH0073,Hyundai,Creta,Black,ACTIVE
DL05AB0074,Maruti Suzuki,Swift,White,ACTIVE
DL01GH0075,Hyundai,Creta,White,SUSPENDED
DL01GH0076,Hyundai,i20,Black,ACTIVE
MH12CD0077,Toyota,Innova,Grey,ACTIVE
MH12IJ0078,Tata,Nexon,Blue,CANCELLED
MH12AB0079,Tata,Nexon,Black,ACTIVE
HR26AB0080,Kia,Seltos,Grey,ACTIVE
HR26CD0081,Mahindra,XUV700,Black,ACTIVE
MH12IJ0082,Hyundai,i20,Black,ACTIVE
HR26EF0083,Tata,Nexon,Grey,ACTIVE
DL01CD0084,Mahindra,XUV700,Red,ACTIVE
HR26CD0085,Maruti Suzuki,Swift,Silver,ACTIVE
UP16EF0086,Hyundai,i20,Black,ACTIVE
MH12AB0087,Honda,City,Grey,ACTIVE
HR26IJ0088,Hyundai,Creta,Silver,ACTIVE
DL01GH0089,Kia,Seltos,Blue,ACTIVE
UP16AB0090,Tata,Punch,Grey,ACTIVE
HR26GH0091,Hyundai,Creta,Grey,ACTIVE
MH12AB0092,Tata,Punch,Grey,ACTIVE
MH12EF0093,Tata,Nexon,Red,ACTIVE
DL01CD0094,Honda,City,White,ACTIVE
MH12IJ0095,Tata,Punch,White,ACTIVE
HR26CD0096,Hyundai,Creta,Blue,ACTIVE
MH12CD0097,Hyundai,i20,Red,ACTIVE
DL01EF0098,Hyundai,Creta,Blue,ACTIVE
HR26GH0099,Tata,Punch,Silver,ACTIVE
HR26GH0100,Maruti Suzuki,Baleno,Grey,ACTIVE
HR26EF0101,Hyundai,Creta,Silver,ACTIVE
DL01CD0102,Toyota,Innova,Silver,ACTIVE
DL05CD0103,Maruti Suzuki,Swift,Silver,ACTIVE
UP16GH0104,Toyota,Innova,Red,ACTIVE
UP16GH0105,Hyundai,Creta,White,ACTIVE
HR26AB0106,Hyundai,Creta,Black,ACTIVE
HR26AB0107,Maruti Suzuki,Swift,White,ACTIVE
DL05AB0108,Mahindra,XUV700,Blue,ACTIVE
MH12IJ0109,Maruti Suzuki,Baleno,Blue,ACTIVE
MH12AB0110,Hyundai,Creta,Silver,ACTIVE
MH12AB0111,Tata,Punch,Silver,ACTIVE
DL05GH0112,Hyundai,i20,Silver,ACTIVE
UP16AB0113,Honda,City,Black,ACTIVE
MH12GH0114,Maruti Suzuki,Swift,White,ACTIVE
HR26AB0115,Hyundai,i20,White,ACTIVE
DL05GH0116,Mahindra,XUV700,White,ACTIVE
DL01AB0117,Hyundai,Creta,White,ACTIVE
DL01AB0118,Maruti Suzuki,Baleno,Black,ACTIVE
DL01GH0119,Tata,Nexon,Grey,SUSPENDED
UP16CD0120,Toyota,Innova,Grey,ACTIVE
DL05IJ0121,Maruti Suzuki,Baleno,Red,ACTIVE
DL05CD0122,Tata,Punch,Red,ACTIVE
DL01AB0123,Maruti Suzuki,Swift,Red,ACTIVE
DL01AB0124,Honda,City,White,ACTIVE
UP16IJ0125,Hyundai,i20,Silver,ACTIVE
DL05AB0126,Maruti Suzuki,Swift,Silver,ACTIVE
DL05CD0127,Hyundai,Creta,Silver,ACTIVE
DL05IJ0128,Hyundai,i20,Blue,ACTIVE
DL05AB0129,Maruti Suzuki,Swift,Silver,ACTIVE
DL05GH0130,Tata,Nexon,Silver,ACTIVE
HR26AB0131,Honda,City,Red,ACTIVE
DL05EF0132,Maruti Suzuki,Swift,Blue,ACTIVE
UP16IJ0133,Tata,Nexon,Red,ACTIVE
DL01GH0134,Tata,Nexon,Red,ACTIVE
UP16EF0135,Kia,Seltos,Black,ACTIVE
HR26GH0136,Maruti Suzuki,Baleno,Blue,ACTIVE
MH12CD0137,Tata,Nexon,White,ACTIVE
DL01GH0138,Tata,Punch,White,ACTIVE
HR26GH0139,Tata,Nexon,Grey,ACTIVE
UP16EF0140,Honda,City,Blue,ACTIVE
DL05GH0141,Tata,Nexon,Blue,ACTIVE
DL01IJ0142,Kia,Seltos,Red,SUSPENDED
DL01GH0143,Maruti Suzuki,Baleno,Silver,ACTIVE
DL05EF0144,Hyundai,i20,Red,ACTIVE
DL05AB0145,Honda,City,White,ACTIVE
DL05EF0146,Tata,Nexon,Red,ACTIVE
DL01AB0147,Honda,City,Blue,ACTIVE
DL05EF0148,Maruti Suzuki,Swift,Blue,ACTIVE
HR26IJ0149,Hyundai,Creta,Blue,ACTIVE
DL05IJ0150,Toyota,Innova,Black,ACTIVE
HR26EF0151,Maruti Suzuki,Baleno,Red,ACTIVE
HR26AB0152,Honda,City,Grey,ACTIVE
MH12EF0153,Tata,Punch,Silver,ACTIVE
HR26AB0154,Maruti Suzuki,Swift,Red,ACTIVE
DL05CD0155,Mahindra,XUV700,White,ACTIVE
DL01EF0156,Honda,City,Black,ACTIVE
DL01GH0157,Hyundai,Creta,White,ACTIVE
HR26AB0158,Mahindra,XUV700,Black,SUSPENDED
DL01EF0159,Honda,City,Blue,ACTIVE
DL05CD0160,Toyota,Innova,Silver,ACTIVE
HR26GH0161,Toyota,Innova,Grey,ACTIVE
UP16CD0162,Toyota,Innova,Grey,ACTIVE
DL01CD0163,Mahindra,XUV700,Silver,ACTIVE
DL01IJ0164,Kia,Seltos,Red,ACTIVE
UP16GH0165,Tata,Nexon,Silver,ACTIVE
DL05GH0166,Mahindra,XUV700,Blue,ACTIVE
DL05AB0167,Toyota,Innova,White,ACTIVE
UP16GH0168,Maruti Suzuki,Baleno,Blue,ACTIVE
DL01AB0169,Hyundai,Creta,Black,ACTIVE
UP16CD0170,Tata,Punch,Grey,ACTIVE
UP16AB0171,Hyundai,i20,Blue,CANCELLED
DL01CD0172,Mahindra,XUV700,Black,ACTIVE
UP16EF0173,Tata,Nexon,Blue,ACTIVE
HR26AB0174,Tata,Nexon,Blue,ACTIVE
HR26IJ0175,Toyota,Innova,Blue,ACTIVE
DL01GH0176,Hyundai,Creta,White,ACTIVE
MH12AB0177,Maruti Suzuki,Swift,Red,ACTIVE
MH12AB0178,Toyota,Innova,Grey,ACTIVE
UP16EF0179,Toyota,Innova,Black,ACTIVE
DL01AB0180,Mahindra,XUV700,Silver,ACTIVE
MH12CD0181,Tata,Punch,Grey,ACTIVE
DL01IJ0182,Maruti Suzuki,Swift,Silver,ACTIVE
DL05CD0183,Maruti Suzuki,Swift,White,ACTIVE
UP16AB0184,Toyota,Innova,Silver,ACTIVE
MH12AB0185,Maruti Suzuki,Swift,Silver,ACTIVE
HR26CD0186,Maruti Suzuki,Baleno,Red,ACTIVE
DL01CD0187,Tata,Nexon,Grey,ACTIVE
UP16IJ0188,Honda,City,Black,CANCELLED
DL01AB0189,Tata,Punch,Blue,ACTIVE
HR26EF0190,Toyota,Innova,White,ACTIVE
HR26CD0191,Hyundai,Creta,Black,ACTIVE
DL01IJ0192,Mahindra,XUV700,Red,ACTIVE
UP16GH0193,Toyota,Innova,Black,ACTIVE
HR26IJ0194,Maruti Suzuki,Baleno,Black,ACTIVE
DL01CD0195,Toyota,Innova,Red,ACTIVE
MH12AB0196,Kia,Seltos,Silver,ACTIVE
UP16EF0197,Maruti Suzuki,Baleno,White,ACTIVE
MH12EF0198,Maruti Suzuki,Baleno,Blue,ACTIVE
HR26GH0199,Hyundai,Creta,Red,ACTIVE
HR26CD0200,Hyundai,i20,Red,ACTIVE
MH12EF0201,Honda,City,White,ACTIVE
UP16CD0202,Toyota,Innova,Red,ACTIVE
UP16GH0203,Maruti Suzuki,Swift,Grey,ACTIVE
HR26GH0204,Tata,Punch,Blue,ACTIVE
MH12IJ0205,Mahindra,XUV700,Grey,CANCELLED
DL05GH0206,Maruti Suzuki,Swift,Silver,ACTIVE
HR26AB0207,Tata,Punch,Silver,ACTIVE
DL05GH0208,Hyundai,Creta,Grey,ACTIVE
UP16CD0209,Maruti Suzuki,Baleno,Grey,ACTIVE
DL05CD0210,Toyota,Innova,Silver,ACTIVE
MH12AB0211,Toyota,Innova,Silver,ACTIVE
UP16AB0212,Mahindra,XUV700,Red,ACTIVE
DL01GH0213,Honda,City,Grey,ACTIVE
DL05GH0214,Tata,Punch,Blue,ACTIVE
MH12IJ0215,Toyota,Innova,Blue,ACTIVE
MH12EF0216,Tata,Nexon,Red,ACTIVE
HR26GH0217,Mahindra,XUV700,Red,ACTIVE
HR26EF0218,Kia,Seltos,Red,ACTIVE
UP16CD0219,Tata,Nexon,Red,ACTIVE
DL01IJ0220,Honda,City,White,ACTIVE
DL01GH0221,Hyundai,Creta,Black,SUSPENDED
HR26EF0222,Maruti Suzuki,Baleno,Grey,ACTIVE
UP16CD0223,Tata,Nexon,Silver,ACTIVE
MH12AB0224,Maruti Suzuki,Swift,Blue,ACTIVE
MH12IJ0225,Hyundai,Creta,Blue,ACTIVE
HR26IJ0226,Maruti Suzuki,Swift,Black,ACTIVE
UP16CD0227,Mahindra,XUV700,White,ACTIVE
MH12EF0228,Mahindra,XUV700,White,ACTIVE
MH12EF0229,Toyota,Innova,Blue,ACTIVE
HR26GH0230,Maruti Suzuki,Swift,Grey,ACTIVE
UP16IJ0231,Tata,Punch,Black,ACTIVE
UP16EF0232,Honda,City,Blue,ACTIVE
HR26GH0233,Hyundai,i20,Blue,ACTIVE
MH12GH0234,Maruti Suzuki,Baleno,Grey,ACTIVE
DL01GH0235,Honda,City,Silver,ACTIVE
HR26IJ0236,Maruti Suzuki,Baleno,Grey,ACTIVE
DL05GH0237,Maruti Suzuki,Baleno,Blue,ACTIVE
MH12IJ0238,Tata,Punch,Blue,ACTIVE
DL05EF0239,Mahindra,XUV700,Red,ACTIVE
DL01GH0240,Kia,Seltos,Blue,ACTIVE
DL05AB0241,Toyota,Innova,Blue,ACTIVE
MH12EF0242,Maruti Suzuki,Swift,Black,ACTIVE
DL01EF0243,Hyundai,Creta,Black,ACTIVE
DL05AB0244,Maruti Suzuki,Swift,White,ACTIVE
DL01CD0245,Tata,Punch,Black,ACTIVE
HR26AB0246,Maruti Suzuki,Baleno,White,ACTIVE
DL05CD0247,Toyota,Innova,Silver,ACTIVE
MH12EF0248,Hyundai,Creta,White,ACTIVE
HR26AB0249,Hyundai,i20,Blue,ACTIVE
DL05EF0250,Hyundai,i20,Red,ACTIVE
HR26AB0251,Maruti Suzuki,Swift,Grey,ACTIVE
DL05IJ0252,Honda,City,Silver,ACTIVE
UP16EF0253,Mahindra,XUV700,Silver,ACTIVE
UP16AB0254,Tata,Nexon,Black,ACTIVE
UP16EF0255,Tata,Punch,Grey,ACTIVE
HR26AB0256,Tata,Nexon,Grey,SUSPENDED
MH12IJ0257,Kia,Seltos,Blue,ACTIVE
DL05GH0258,Maruti Suzuki,Swift,Black,SUSPENDED
DL01EF0259,Tata,Nexon,Red,ACTIVE
DL01EF0260,Tata,Nexon,Red,ACTIVE
DL01GH0261,Maruti Suzuki,Swift,White,ACTIVE
DL01AB0262,Kia,Seltos,White,ACTIVE
DL05GH0263,Maruti Suzuki,Swift,Grey,SUSPENDED
DL01GH0264,Mahindra,XUV700,Blue,ACTIVE
MH12GH0265,Hyundai,Creta,Black,ACTIVE
DL05IJ0266,Maruti Suzuki,Swift,White,ACTIVE
HR26AB0267,Honda,City,Grey,ACTIVE
UP16AB0268,Toyota,Innova,Red,ACTIVE
HR26EF0269,Maruti Suzuki,Baleno,Black,ACTIVE
DL01AB0270,Honda,City,Black,ACTIVE
UP16EF0271,Honda,City,Grey,ACTIVE
DL01IJ0272,Maruti Suzuki,Baleno,White,ACTIVE
DL05AB0273,Honda,City,Blue,ACTIVE
MH12GH0274,Toyota,Innova,Red,ACTIVE
MH12GH0275,Hyundai,Creta,Red,ACTIVE
DL05CD0276,Mahindra,XUV700,White,ACTIVE
MH12EF0277,Maruti Suzuki,Baleno,Blue,ACTIVE
DL01EF0278,Kia,Seltos,White,ACTIVE
MH12CD0279,Maruti Suzuki,Baleno,Red,ACTIVE
MH12AB0280,Toyota,Innova,White,ACTIVE
UP16EF0281,Mahindra,XUV700,Red,ACTIVE
DL05CD0282,Maruti Suzuki,Baleno,Blue,ACTIVE
HR26CD0283,Kia,Seltos,Silver,ACTIVE
MH12GH0284,Hyundai,i20,Silver,SUSPENDED
DL01AB0285,Toyota,Innova,Black,ACTIVE
MH12GH0286,Toyota,Innova,Red,ACTIVE
MH12AB0287,Maruti Suzuki,Baleno,Silver,ACTIVE
DL01EF0288,Hyundai,Creta,White,ACTIVE
DL01IJ0289,Hyundai,i20,Red,ACTIVE
DL01IJ0290,Mahindra,XUV700,Silver,ACTIVE
HR26EF0291,Hyundai,i20,Blue,ACTIVE
DL05CD0292,Tata,Punch,Blue,ACTIVE
HR26AB0293,Tata,Nexon,Red,ACTIVE
DL05EF0294,Kia,Seltos,Blue,ACTIVE
DL01AB0295,Mahindra,XUV700,Black,ACTIVE
UP16CD0296,Tata,Punch,Grey,ACTIVE
DL01EF0297,Hyundai,i20,Red,ACTIVE
UP16IJ0298,Hyundai,i20,Black,ACTIVE
MH12EF0299,Toyota,Innova,Red,ACTIVE
HR26CD0300,Toyota,Innova,Red,ACTIVE
UP16EF0301,Kia,Seltos,Silver,ACTIVE
HR26CD0302,Toyota,Innova,Blue,ACTIVE
DL01EF0303,Maruti Suzuki,Baleno,Red,ACTIVE
UP16GH0304,Hyundai,Creta,Silver,ACTIVE
DL01IJ0305,Tata,Nexon,Silver,ACTIVE
DL05CD0306,Honda,City,Silver,ACTIVE
MH12CD0307,Kia,Seltos,Silver,ACTIVE
DL05EF0308,Honda,City,Red,ACTIVE
DL05IJ0309,Tata,Nexon,Silver,ACTIVE
HR26EF0310,Tata,Nexon,Black,ACTIVE
MH12IJ0311,Tata,Nexon,White,ACTIVE
HR26CD0312,Maruti Suzuki,Swift,Red,ACTIVE
MH12IJ0313,Maruti Suzuki,Baleno,Red,ACTIVE
MH12CD0314,Toyota,Innova,Black,ACTIVE
HR26EF0315,Kia,Seltos,Red,CANCELLED
DL05EF0316,Toyota,Innova,Grey,ACTIVE
UP16GH0317,Tata,Nexon,Grey,ACTIVE
DL01AB0318,Maruti Suzuki,Baleno,Red,ACTIVE
MH12CD0319,Hyundai,i20,Grey,ACTIVE
UP16GH0320,Kia,Seltos,Blue,ACTIVE
UP16EF0321,Toyota,Innova,Black,ACTIVE
HR26IJ0322,Toyota,Innova,Silver,ACTIVE
MH12AB0323,Hyundai,i20,White,SUSPENDED
MH12EF0324,Tata,Punch,Black,ACTIVE
DL05AB0325,Mahindra,XUV700,Grey,ACTIVE
DL01AB0326,Maruti Suzuki,Swift,Black,ACTIVE
DL05IJ0327,Maruti Suzuki,Swift,Red,ACTIVE
DL01CD0328,Hyundai,i20,Black,CANCELLED
HR26CD0329,Mahindra,XUV700,Silver,ACTIVE
HR26AB0330,Tata,Punch,Grey,ACTIVE
UP16AB0331,Tata,Nexon,Blue,ACTIVE
DL05IJ0332,Tata,Punch,Blue,ACTIVE
DL05CD0333,Tata,Punch,Blue,CANCELLED
UP16GH0334,Tata,Nexon,Blue,CANCELLED
UP16AB0335,Hyundai,i20,Grey,ACTIVE
MH12IJ0336,Hyundai,i20,White,ACTIVE
HR26CD0337,Honda,City,Grey,ACTIVE
DL05AB0338,Mahindra,XUV700,Silver,ACTIVE
DL05AB0339,Tata,Punch,Red,ACTIVE
UP16CD0340,Kia,Seltos,Silver,ACTIVE
DL05IJ0341,Hyundai,Creta,Grey,ACTIVE
DL05AB0342,Hyundai,Creta,White,ACTIVE
UP16CD0343,Tata,Punch,White,ACTIVE
MH12EF0344,Tata,Punch,Black,ACTIVE
HR26GH0345,Honda,City,Silver,ACTIVE
UP16EF0346,Maruti Suzuki,Swift,Black,ACTIVE
DL05EF0347,Mahindra,XUV700,Grey,SUSPENDED
HR26EF0348,Hyundai,Creta,White,ACTIVE
DL01EF0349,Hyundai,i20,Black,ACTIVE
UP16IJ0350,Toyota,Innova,White,ACTIVE
UP16GH0351,Tata,Nexon,Silver,ACTIVE
DL01CD0352,Tata,Punch,Grey,ACTIVE
UP16AB0353,Toyota,Innova,Grey,ACTIVE
DL01CD0354,Kia,Seltos,Grey,ACTIVE
UP16CD0355,Maruti Suzuki,Swift,White,ACTIVE
MH12CD0356,Toyota,Innova,Silver,ACTIVE
UP16EF0357,Maruti Suzuki,Baleno,Black,ACTIVE
MH12GH0358,Tata,Punch,Grey,SUSPENDED
DL01AB0359,Honda,City,Grey,ACTIVE
UP16IJ0360,Kia,Seltos,Silver,ACTIVE
UP16AB0361,Hyundai,Creta,Red,ACTIVE
DL05GH0362,Honda,City,Black,ACTIVE
UP16AB0363,Honda,City,Black,ACTIVE
HR26EF0364,Hyundai,Creta,Red,ACTIVE
UP16CD0365,Hyundai,Creta,Blue,ACTIVE
HR26CD0366,Tata,Nexon,Grey,ACTIVE
DL05IJ0367,Mahindra,XUV700,Grey,ACTIVE
UP16GH0368,Tata,Punch,Blue,ACTIVE
HR26IJ0369,Maruti Suzuki,Swift,Red,ACTIVE
DL01EF0370,Maruti Suzuki,Swift,Black,ACTIVE
DL01AB0371,Honda,City,Black,CANCELLED
MH12CD0372,Maruti Suzuki,Swift,White,ACTIVE
HR26EF0373,Tata,Nexon,White,ACTIVE
UP16EF0374,Mahindra,XUV700,Grey,ACTIVE
UP16IJ0375,Tata,Punch,Black,CANCELLED
UP16IJ0376,Kia,Seltos,White,ACTIVE
DL01AB0377,Tata,Nexon,Blue,ACTIVE
HR26EF0378,Kia,Seltos,White,ACTIVE
UP16GH0379,Honda,City,Grey,ACTIVE
UP16GH0380,Tata,Nexon,Black,ACTIVE
DL05AB0381,Toyota,Innova,Black,ACTIVE
HR26EF0382,Tata,Nexon,Red,ACTIVE
UP16EF0383,Tata,Nexon,Black,ACTIVE
UP16EF0384,Toyota,Innova,Red,ACTIVE
HR26AB0385,Kia,Seltos,Grey,ACTIVE
DL05CD0386,Honda,City,White,ACTIVE
MH12GH0387,Tata,Punch,Red,ACTIVE
DL05IJ0388,Maruti Suzuki,Baleno,Blue,ACTIVE
MH12IJ0389,Tata,Nexon,Grey,SUSPENDED
MH12CD0390,Hyundai,i20,Black,ACTIVE
UP16CD0391,Hyundai,Creta,Red,ACTIVE
UP16CD0392,Hyundai,Creta,White,SUSPENDED
DL01IJ0393,Mahindra,XUV700,Red,ACTIVE
HR26AB0394,Maruti Suzuki,Baleno,Red,ACTIVE
MH12EF0395,Tata,Nexon,White,ACTIVE
MH12IJ0396,Honda,City,Grey,ACTIVE
MH12EF0397,Hyundai,Creta,Black,ACTIVE
DL01IJ0398,Tata,Nexon,White,SUSPENDED
HR26GH0399,Hyundai,Creta,Blue,ACTIVE
UP16EF0400,Kia,Seltos,Red,ACTIVE
HR26IJ0401,Hyundai,Creta,Blue,ACTIVE
UP16IJ0402,Kia,Seltos,Black,ACTIVE
DL01CD0403,Maruti Suzuki,Baleno,Grey,ACTIVE
DL05AB0404,Hyundai,Creta,Blue,ACTIVE
UP16AB0405,Mahindra,XUV700,Black,ACTIVE
DL01CD0406,Honda,City,Blue,ACTIVE
MH12GH0407,Tata,Nexon,White,ACTIVE
MH12AB0408,Honda,City,Red,ACTIVE
HR26AB0409,Hyundai,Creta,Grey,ACTIVE
MH12CD0410,Toyota,Innova,White,ACTIVE
HR26GH0411,Maruti Suzuki,Baleno,Blue,ACTIVE
DL05GH0412,Maruti Suzuki,Swift,Blue,SUSPENDED
UP16AB0413,Toyota,Innova,Blue,ACTIVE
DL01EF0414,Hyundai,Creta,Black,ACTIVE
HR26GH0415,Hyundai,i20,Blue,ACTIVE
UP16IJ0416,Toyota,Innova,Black,ACTIVE
MH12IJ0417,Hyundai,i20,Blue,ACTIVE
UP16IJ0418,Kia,Seltos,White,ACTIVE
DL01GH0419,Kia,Seltos,Grey,ACTIVE
DL05AB0420,Mahindra,XUV700,Grey,ACTIVE
DL05CD0421,Maruti Suzuki,Swift,Black,ACTIVE
DL05AB0422,Tata,Nexon,Grey,ACTIVE
MH12CD0423,Honda,City,White,SUSPENDED
MH12AB0424,Tata,Punch,Grey,ACTIVE
UP16IJ0425,Tata,Nexon,White,ACTIVE
DL01IJ0426,Mahindra,XUV700,Silver,ACTIVE
DL05IJ0427,Maruti Suzuki,Swift,Silver,ACTIVE
MH12CD0428,Hyundai,i20,White,ACTIVE
DL01GH0429,Maruti Suzuki,Baleno,Blue,ACTIVE
UP16IJ0430,Maruti Suzuki,Swift,Blue,ACTIVE
DL01IJ0431,Honda,City,White,ACTIVE
MH12EF0432,Hyundai,i20,Red,ACTIVE
UP16EF0433,Toyota,Innova,Silver,ACTIVE
UP16AB0434,Hyundai,i20,Grey,ACTIVE
MH12AB0435,Mahindra,XUV700,White,ACTIVE
DL05CD0436,Tata,Punch,Silver,ACTIVE
DL01EF0437,Tata,Nexon,White,ACTIVE
UP16CD0438,Honda,City,Silver,CANCELLED
DL01GH0439,Hyundai,Creta,Silver,ACTIVE
DL05CD0440,Kia,Seltos,Blue,ACTIVE
HR26IJ0441,Honda,City,Blue,ACTIVE
DL05CD0442,Maruti Suzuki,Baleno,Silver,ACTIVE
HR26IJ0443,Maruti Suzuki,Swift,Blue,ACTIVE
UP16CD0444,Toyota,Innova,White,ACTIVE
DL05GH0445,Hyundai,Creta,Black,ACTIVE
DL01EF0446,Kia,Seltos,Red,ACTIVE
DL01IJ0447,Kia,Seltos,Black,ACTIVE
DL05GH0448,Kia,Seltos,Grey,ACTIVE
UP16GH0449,Maruti Suzuki,Swift,White,ACTIVE
DL05CD0450,Kia,Seltos,Grey,ACTIVE
UP16GH0451,Kia,Seltos,Red,ACTIVE
MH12EF0452,Kia,Seltos,Red,ACTIVE
UP16GH0453,Mahindra,XUV700,Black,CANCELLED
HR26AB0454,Tata,Nexon,Grey,ACTIVE
DL05EF0455,Mahindra,XUV700,Silver,ACTIVE
MH12AB0456,Hyundai,Creta,Blue,ACTIVE
DL05GH0457,Toyota,Innova,Red,ACTIVE
MH12GH0458,Toyota,Innova,Red,ACTIVE
UP16AB0459,Hyundai,Creta,Red,ACTIVE
DL01EF0460,Hyundai,Creta,White,ACTIVE
DL05EF0461,Tata,Nexon,Red,ACTIVE
DL05CD0462,Hyundai,Creta,Blue,ACTIVE
DL05EF0463,Maruti Suzuki,Swift,Black,ACTIVE
UP16CD0464,Toyota,Innova,Grey,ACTIVE
DL05GH0465,Maruti Suzuki,Swift,Silver,ACTIVE
DL05IJ0466,Tata,Punch,Black,ACTIVE
HR26CD0467,Honda,City,Red,ACTIVE
HR26GH0468,Honda,City,White,ACTIVE
UP16IJ0469,Maruti Suzuki,Baleno,Blue,ACTIVE
MH12CD0470,Toyota,Innova,Grey,ACTIVE
UP16AB0471,Hyundai,Creta,Red,ACTIVE
HR26IJ0472,Honda,City,Black,ACTIVE
UP16EF0473,Tata,Nexon,Grey,ACTIVE
DL01EF0474,Tata,Nexon,White,ACTIVE
HR26CD0475,Mahindra,XUV700,Silver,SUSPENDED
MH12CD0476,Maruti Suzuki,Swift,White,ACTIVE
HR26AB0477,Maruti Suzuki,Swift,Blue,ACTIVE
HR26CD0478,Maruti Suzuki,Baleno,Red,ACTIVE
HR26EF0479,Maruti Suzuki,Swift,Black,ACTIVE
UP16IJ0480,Toyota,Innova,Grey,CANCELLED
MH12AB0481,Tata,Nexon,White,ACTIVE
MH12GH0482,Hyundai,i20,Blue,ACTIVE
HR26CD0483,Maruti Suzuki,Baleno,Blue,ACTIVE
UP16AB0484,Tata,Nexon,Blue,ACTIVE
HR26CD0485,Maruti Suzuki,Swift,Silver,ACTIVE
UP16CD0486,Toyota,Innova,White,ACTIVE
MH12CD0487,Mahindra,XUV700,Red,ACTIVE
UP16IJ0488,Tata,Punch,Grey,ACTIVE
