registration_id,registration_no,owner_id,make,model,colour,fuel_type,registered_on,reg_status,rto_code
48,DL05EF0048,48,Kia,Seltos,Red,EV,2022-04-27,ACTIVE,DL05
49,UP16GH0049,49,Toyota,Innova,Silver,CNG,2023-11-14,ACTIVE,UP16
50,DL01EF0050,50,Maruti Suzuki,Baleno,Blue,DIESEL,2021-01-08,ACTIVE,DL01
51,MH12GH0051,51,Maruti Suzuki,Swift,White,CNG,2025-06-27,ACTIVE,MH12
52,MH12IJ0052,52,Toyota,Innova,Blue,CNG,2025-09-02,ACTIVE,MH12
53,DL01AB0053,53,Tata,Punch,White,CNG,2024-11-20,ACTIVE,DL01
54,DL01AB0054,54,Tata,Punch,Grey,PETROL,2023-04-13,ACTIVE,DL01
55,DL01GH0055,55,Mahindra,XUV700,Silver,PETROL,2023-01-27,ACTIVE,DL01
56,MH12CD0056,56,Maruti Suzuki,Swift,Blue,CNG,2021-05-19,ACTIVE,MH12
57,UP16EF0057,57,Tata,Nexon,Blue,PETROL,2025-07-03,ACTIVE,UP16
58,HR26GH0058,58,Kia,Seltos,Red,CNG,2025-02-17,SUSPENDED,HR26
59,DL05GH0059,59,Honda,City,Silver,DIESEL,2020-09-29,ACTIVE,DL05
60,UP16GH0060,60,Kia,Seltos,Black,CNG,2025-05-11,ACTIVE,UP16
61,UP16CD0061,61,Maruti Suzuki,Swift,Silver,DIESEL,2023-07-10,ACTIVE,UP16
62,UP16AB0062,62,Kia,Seltos,Blue,PETROL,2021-04-29,ACTIVE,UP16
63,DL01IJ0063,63,Toyota,Innova,Grey,EV,2021-09-28,ACTIVE,DL01
64,DL01CD0064,64,Tata,Punch,Red,PETROL,2022-04-10,SUSPENDED,DL01
65,DL01GH0065,65,Hyundai,Creta,Silver,DIESEL,2021-11-23,ACTIVE,DL01
66,MH12IJ0066,66,Kia,Seltos,Silver,DIESEL,2023-06-05,ACTIVE,MH12
67,UP16IJ0067,67,Maruti Suzuki,Baleno,Silver,DIESEL,2022-01-25,ACTIVE,UP16
68,DL01GH0068,68,Hyundai,i20,Grey,DIESEL,2024-09-13,ACTIVE,DL01
69,MH12GH0069,69,Kia,Seltos,Grey,EV,2024-08-01,ACTIVE,MH12
70,DL01EF0070,70,Kia,Seltos,Black,PETROL,2024-02-14,ACTIVE,DL01
71,HR26EF0071,71,Maruti Suzuki,Swift,Grey,CNG,2022-11-16,ACTIVE,HR26
72,DL01IJ0072,72,Tata,Punch,Red,PETROL,2024-05-22,ACTIVE,DL01
73,HR26GH0073,73,Hyundai,Creta,Black,DIESEL,2025-06-25,ACTIVE,HR26
74,DL05AB0074,74,Maruti Suzuki,Swift,White,EV,2023-09-25,ACTIVE,DL05
75,DL01GH0075,75,Hyundai,Creta,White,CNG,2024-11-21,SUSPENDED,DL01
76,DL01GH0076,76,Hyundai,i20,Black,EV,2021-11-02,ACTIVE,DL01
77,MH12CD0077,77,Toyota,Innova,Grey,PETROL,2020-12-10,ACTIVE,MH12
78,MH12IJ0078,78,Tata,Nexon,Blue,EV,2025-04-07,CANCELLED,MH12
79,MH12AB0079,79,Tata,Nexon,Black,CNG,2022-06-24,ACTIVE,MH12
80,HR26AB0080,80,Kia,Seltos,Grey,DIESEL,2021-02-19,ACTIVE,HR26
81,HR26CD0081,81,Mahindra,XUV700,Black,PETROL,2022-06-27,ACTIVE,HR26
82,MH12IJ0082,82,Hyundai,i20,Black,DIESEL,2021-02-02,ACTIVE,MH12
83,HR26EF0083,83,Tata,Nexon,Grey,PETROL,2020-10-19,ACTIVE,HR26
84,DL01CD0084,84,Mahindra,XUV700,Red,PETROL,2024-03-03,ACTIVE,DL01
85,HR26CD0085,85,Maruti Suzuki,Swift,Silver,DIESEL,2023-06-15,ACTIVE,HR26
86,UP16EF0086,86,Hyundai,i20,Black,DIESEL,2021-10-12,ACTIVE,UP16
87,MH12AB0087,87,Honda,City,Grey,DIESEL,2020-12-05,ACTIVE,MH12
88,HR26IJ0088,88,Hyundai,Creta,Silver,CNG,2021-03-15,ACTIVE,HR26
89,DL01GH0089,89,Kia,Seltos,Blue,DIESEL,2022-08-30,ACTIVE,DL01
90,UP16AB0090,90,Tata,Punch,Grey,CNG,2024-08-09,ACTIVE,UP16
91,HR26GH0091,91,Hyundai,Creta,Grey,EV,2022-10-11,ACTIVE,HR26
92,MH12AB0092,92,Tata,Punch,Grey,PETROL,2022-07-27,ACTIVE,MH12
93,MH12EF0093,93,Tata,Nexon,Red,EV,2023-05-02,ACTIVE,MH12
94,DL01CD0094,94,Honda,City,White,DIESEL,2023-09-12,ACTIVE,DL01
95,MH12IJ0095,95,,Punch,White,CNG,2022-10-27,ACTIVE,MH12
96,HR26CD0096,96,Hyundai,Creta,Blue,PETROL,2023-06-06,ACTIVE,HR26
97,MH12CD0097,97,Hyundai,i20,Red,EV,2023-07-28,ACTIVE,MH12
98,DL01EF0098,98,Hyundai,Creta,Blue,DIESEL,2021-03-01,ACTIVE,DL01
99,HR26GH0099,99,Tata,Punch,Silver,DIESEL,2022-03-17,ACTIVE,HR26
100,HR26GH0100,100,Maruti Suzuki,Baleno,Grey,DIESEL,2021-11-09,ACTIVE,HR26
101,HR26EF0101,101,Hyundai,Creta,Silver,PETROL,2023-12-13,ACTIVE,HR26
102,DL01CD0102,102,Toyota,Innova,Silver,CNG,2021-08-05,ACTIVE,DL01
103,DL05CD0103,103,Maruti Suzuki,Swift,Silver,PETROL,2024-12-05,ACTIVE,DL05
104,UP16GH0104,104,Toyota,Innova,Red,PETROL,2023-04-08,ACTIVE,UP16
105,UP16GH0105,105,Hyundai,Creta,White,EV,2024-08-22,ACTIVE,UP16
106,HR26AB0106,106,Hyundai,Creta,Black,CNG,2021-08-06,ACTIVE,HR26
107,HR26AB0107,107,Maruti Suzuki,Swift,White,DIESEL,2022-10-16,ACTIVE,HR26
108,DL05AB0108,108,Mahindra,XUV700,Blue,CNG,2024-05-21,ACTIVE,DL05
109,MH12IJ0109,109,Maruti Suzuki,Baleno,Blue,PETROL,2023-02-17,ACTIVE,MH12
110,MH12AB0110,110,Hyundai,Creta,Silver,EV,2025-04-18,ACTIVE,MH12
111,MH12AB0111,111,Tata,Punch,Silver,EV,2023-05-17,ACTIVE,MH12
112,DL05GH0112,112,Hyundai,i20,Silver,CNG,2021-05-09,ACTIVE,DL05
113,UP16AB0113,113,Honda,City,Black,PETROL,2021-01-13,ACTIVE,UP16
114,MH12GH0114,114,Maruti Suzuki,Swift,White,DIESEL,2025-04-09,ACTIVE,MH12
115,HR26AB0115,115,Hyundai,i20,White,DIESEL,2025-01-14,ACTIVE,HR26
116,DL05GH0116,116,Mahindra,XUV700,White,CNG,2020-12-12,ACTIVE,DL05
117,DL01AB0117,117,Hyundai,Creta,White,EV,2021-03-29,ACTIVE,DL01
118,DL01AB0118,118,Maruti Suzuki,Baleno,Black,CNG,2024-03-27,ACTIVE,DL01
119,DL01GH0119,119,Tata,Nexon,Grey,PETROL,2023-02-10,SUSPENDED,DL01
120,UP16CD0120,120,Toyota,Innova,Grey,EV,2025-08-27,ACTIVE,UP16
121,DL05IJ0121,121,Maruti Suzuki,Baleno,Red,PETROL,2025-08-05,ACTIVE,DL05
122,DL05CD0122,122,Tata,Punch,Red,DIESEL,2025-09-01,ACTIVE,DL05
123,DL01AB0123,123,Maruti Suzuki,Swift,Red,DIESEL,2024-12-23,ACTIVE,DL01
124,DL01AB0124,124,Honda,City,White,PETROL,2023-10-08,ACTIVE,DL01
125,UP16IJ0125,125,Hyundai,i20,Silver,PETROL,2021-10-04,ACTIVE,UP16
126,DL05AB0126,126,Maruti Suzuki,Swift,Silver,EV,2021-12-27,ACTIVE,DL05
127,DL05CD0127,127,Hyundai,Creta,Silver,DIESEL,2021-10-14,ACTIVE,DL05
128,DL05IJ0128,128,Hyundai,i20,Blue,PETROL,2025-06-03,ACTIVE,DL05
129,DL05AB0129,129,Maruti Suzuki,Swift,Silver,PETROL,2024-08-14,ACTIVE,DL05
130,DL05GH0130,130,Tata,Nexon,Silver,EV,2023-04-10,ACTIVE,DL05
131,HR26AB0131,131,Honda,City,Red,PETROL,2023-10-26,ACTIVE,HR26
132,DL05EF0132,132,Maruti Suzuki,Swift,Blue,PETROL,2022-06-29,ACTIVE,DL05
133,UP16IJ0133,133,Tata,Nexon,Red,DIESEL,2020-12-12,ACTIVE,UP16
134,DL01GH0134,134,Tata,Nexon,Red,DIESEL,2023-02-16,ACTIVE,DL01
135,UP16EF0135,135,Kia,Seltos,Black,CNG,2023-06-29,ACTIVE,UP16
136,HR26GH0136,136,Maruti Suzuki,Baleno,Blue,PETROL,2023-12-31,ACTIVE,HR26
137,MH12CD0137,137,Tata,Nexon,White,PETROL,2023-06-23,ACTIVE,MH12
138,DL01GH0138,138,Tata,Punch,White,CNG,2022-08-01,ACTIVE,DL01
139,HR26GH0139,139,Tata,Nexon,Grey,DIESEL,2024-12-13,ACTIVE,HR26
140,UP16EF0140,140,Honda,City,Blue,DIESEL,2025-02-05,ACTIVE,UP16
141,DL05GH0141,141,Tata,Nexon,Blue,EV,2025-05-15,ACTIVE,DL05
142,DL01IJ0142,142,Kia,Seltos,Red,DIESEL,2024-07-06,SUSPENDED,DL01
143,DL01GH0143,143,Maruti Suzuki,Baleno,Silver,CNG,2023-04-03,ACTIVE,DL01
144,DL05EF0144,144,Hyundai,i20,Red,CNG,2021-06-05,ACTIVE,DL05
145,DL05AB0145,145,Honda,City,White,PETROL,2024-03-20,ACTIVE,DL05
146,DL05EF0146,146,Tata,Nexon,Red,PETROL,2021-06-16,ACTIVE,DL05
147,DL01AB0147,147,Honda,City,Blue,EV,2023-12-10,ACTIVE,DL01
148,DL05EF0148,148,Maruti Suzuki,Swift,Blue,EV,2022-01-04,ACTIVE,DL05
149,HR26IJ0149,149,Hyundai,Creta,Blue,DIESEL,2022-11-22,ACTIVE,HR26
150,DL05IJ0150,150,Toyota,Innova,Black,DIESEL,2024-11-13,ACTIVE,DL05
151,HR26EF0151,151,Maruti Suzuki,Baleno,Red,DIESEL,2023-07-17,ACTIVE,HR26
152,HR26AB0152,152,Honda,City,Grey,CNG,2025-08-06,ACTIVE,HR26
153,MH12EF0153,153,Tata,Punch,Silver,PETROL,2025-01-02,ACTIVE,MH12
154,HR26AB0154,154,Maruti Suzuki,Swift,Red,DIESEL,2022-07-22,ACTIVE,HR26
155,DL05CD0155,155,Mahindra,XUV700,White,PETROL,2021-10-01,ACTIVE,DL05
156,DL01EF0156,156,Honda,City,Black,CNG,2021-01-21,ACTIVE,DL01
157,DL01GH0157,157,Hyundai,Creta,White,PETROL,2023-08-29,ACTIVE,DL01
158,HR26AB0158,158,Mahindra,XUV700,Black,CNG,2025-03-07,SUSPENDED,HR26
159,DL01EF0159,159,Honda,City,Blue,DIESEL,2024-03-24,ACTIVE,DL01
160,DL05CD0160,160,Toyota,Innova,Silver,EV,2022-06-20,ACTIVE,DL05
161,HR26GH0161,161,Toyota,Innova,Grey,DIESEL,2024-11-29,ACTIVE,HR26
162,UP16CD0162,162,Toyota,Innova,Grey,CNG,2024-04-07,ACTIVE,UP16
163,DL01CD0163,163,Mahindra,XUV700,Silver,DIESEL,2024-11-01,ACTIVE,DL01
164,DL01IJ0164,164,Kia,Seltos,Red,EV,2023-10-11,ACTIVE,DL01
165,UP16GH0165,165,Tata,Nexon,Silver,EV,2022-04-20,ACTIVE,UP16
166,DL05GH0166,166,Mahindra,XUV700,Blue,PETROL,2024-06-21,ACTIVE,DL05
167,DL05AB0167,167,Toyota,Innova,White,EV,2021-03-25,ACTIVE,DL05
168,UP16GH0168,168,Maruti Suzuki,Baleno,Blue,CNG,2024-06-30,ACTIVE,UP16
169,DL01AB0169,169,Hyundai,Creta,Black,CNG,2021-10-09,ACTIVE,DL01
170,UP16CD0170,170,Tata,Punch,Grey,EV,2020-11-28,ACTIVE,UP16
171,UP16AB0171,171,Hyundai,i20,Blue,PETROL,2024-02-04,CANCELLED,UP16
172,DL01CD0172,172,Mahindra,XUV700,Black,PETROL,2022-08-22,ACTIVE,DL01
173,UP16EF0173,173,Tata,Nexon,Blue,PETROL,2024-07-10,ACTIVE,UP16
174,HR26AB0174,174,Tata,Nexon,Blue,EV,2021-09-24,ACTIVE,HR26
175,HR26IJ0175,175,Toyota,Innova,Blue,PETROL,2021-06-24,ACTIVE,HR26
176,DL01GH0176,176,Hyundai,Creta,White,EV,2023-01-27,ACTIVE,DL01
177,MH12AB0177,177,Maruti Suzuki,Swift,Red,EV,2022-09-30,ACTIVE,MH12
178,MH12AB0178,178,Toyota,Innova,Grey,DIESEL,2023-07-05,ACTIVE,MH12
179,UP16EF0179,179,Toyota,Innova,Black,CNG,2024-10-31,ACTIVE,UP16
180,DL01AB0180,180,Mahindra,XUV700,Silver,PETROL,2021-10-18,ACTIVE,DL01
181,MH12CD0181,181,Tata,Punch,Grey,PETROL,2023-01-10,ACTIVE,MH12
182,DL01IJ0182,182,Maruti Suzuki,Swift,Silver,PETROL,2024-01-30,ACTIVE,DL01
183,DL05CD0183,183,Maruti Suzuki,Swift,White,EV,2024-11-15,ACTIVE,DL05
184,UP16AB0184,184,Toyota,Innova,Silver,DIESEL,2022-06-17,ACTIVE,UP16
185,MH12AB0185,185,Maruti Suzuki,Swift,Silver,DIESEL,2021-03-15,ACTIVE,MH12
186,HR26CD0186,186,,Baleno,Red,EV,2025-09-03,ACTIVE,HR26
187,DL01CD0187,187,Tata,Nexon,Grey,DIESEL,2024-02-19,ACTIVE,DL01
188,UP16IJ0188,188,Honda,City,Black,DIESEL,2023-01-18,CANCELLED,UP16
189,DL01AB0189,189,Tata,Punch,Blue,CNG,2021-01-18,ACTIVE,DL01
190,HR26EF0190,190,Toyota,Innova,White,EV,2023-02-03,ACTIVE,HR26
191,HR26CD0191,191,Hyundai,Creta,Black,PETROL,2025-02-22,ACTIVE,HR26
192,DL01IJ0192,192,Mahindra,XUV700,Red,CNG,2021-08-05,ACTIVE,DL01
193,UP16GH0193,193,Toyota,Innova,Black,PETROL,2022-02-14,ACTIVE,UP16
194,HR26IJ0194,194,Maruti Suzuki,Baleno,Black,DIESEL,2021-01-15,ACTIVE,HR26
195,DL01CD0195,195,Toyota,Innova,Red,CNG,2021-08-03,ACTIVE,DL01
196,MH12AB0196,196,Kia,Seltos,Silver,EV,2025-05-24,ACTIVE,MH12
197,UP16EF0197,197,Maruti Suzuki,Baleno,White,PETROL,2025-02-07,ACTIVE,UP16
198,MH12EF0198,198,Maruti Suzuki,Baleno,Blue,PETROL,2021-05-10,ACTIVE,MH12
199,HR26GH0199,199,Hyundai,Creta,Red,PETROL,2020-12-27,ACTIVE,HR26
200,HR26CD0200,200,Hyundai,i20,Red,CNG,2024-01-22,ACTIVE,HR26
201,MH12EF0201,201,Honda,City,White,CNG,2025-08-07,ACTIVE,MH12
202,UP16CD0202,202,Toyota,Innova,Red,CNG,2024-02-22,ACTIVE,UP16
203,UP16GH0203,203,Maruti Suzuki,Swift,Grey,CNG,2023-09-26,ACTIVE,UP16
204,HR26GH0204,204,Tata,Punch,Blue,PETROL,2024-06-05,ACTIVE,HR26
205,MH12IJ0205,205,Mahindra,XUV700,Grey,DIESEL,2025-08-04,CANCELLED,MH12
206,DL05GH0206,206,Maruti Suzuki,Swift,Silver,CNG,2023-03-20,ACTIVE,DL05
207,HR26AB0207,207,Tata,Punch,Silver,EV,2024-02-08,ACTIVE,HR26
208,DL05GH0208,208,Hyundai,Creta,Grey,PETROL,2022-08-07,ACTIVE,DL05
209,UP16CD0209,209,Maruti Suzuki,Baleno,Grey,PETROL,2024-07-08,ACTIVE,UP16
210,DL05CD0210,210,Toyota,Innova,Silver,PETROL,2023-05-09,ACTIVE,DL05
211,MH12AB0211,211,Toyota,Innova,Silver,EV,2024-01-31,ACTIVE,MH12
212,UP16AB0212,212,Mahindra,XUV700,Red,PETROL,2024-05-24,ACTIVE,UP16
213,DL01GH0213,213,Honda,City,Grey,DIESEL,2022-02-04,ACTIVE,DL01
214,DL05GH0214,214,Tata,Punch,Blue,CNG,2021-01-29,ACTIVE,DL05
215,MH12IJ0215,215,Toyota,Innova,Blue,DIESEL,2022-03-09,ACTIVE,MH12
216,MH12EF0216,216,Tata,Nexon,Red,PETROL,2025-01-08,ACTIVE,MH12
217,HR26GH0217,217,Mahindra,XUV700,Red,DIESEL,2024-07-01,ACTIVE,HR26
218,HR26EF0218,218,Kia,Seltos,Red,PETROL,2024-09-14,ACTIVE,HR26
219,UP16CD0219,219,Tata,Nexon,Red,DIESEL,2020-09-28,ACTIVE,UP16
220,DL01IJ0220,220,Honda,City,White,DIESEL,2021-07-12,ACTIVE,DL01
221,DL01GH0221,221,Hyundai,Creta,Black,DIESEL,2023-11-14,SUSPENDED,DL01
222,HR26EF0222,222,Maruti Suzuki,Baleno,Grey,CNG,2025-01-29,ACTIVE,HR26
223,UP16CD0223,223,Tata,Nexon,Silver,DIESEL,2025-07-03,ACTIVE,UP16
224,MH12AB0224,224,Maruti Suzuki,Swift,Blue,PETROL,2022-09-15,ACTIVE,MH12
225,MH12IJ0225,225,,Creta,Blue,CNG,2025-04-09,ACTIVE,MH12
226,HR26IJ0226,226,Maruti Suzuki,Swift,Black,EV,2021-02-08,ACTIVE,HR26
227,UP16CD0227,227,Mahindra,XUV700,White,DIESEL,2022-05-04,ACTIVE,UP16
228,MH12EF0228,228,Mahindra,XUV700,White,EV,2024-03-09,ACTIVE,MH12
229,MH12EF0229,229,Toyota,Innova,Blue,PETROL,2024-07-30,ACTIVE,MH12
230,HR26GH0230,230,Maruti Suzuki,Swift,Grey,EV,2020-11-18,ACTIVE,HR26
231,UP16IJ0231,231,Tata,Punch,Black,EV,2022-02-26,ACTIVE,UP16
232,UP16EF0232,232,Honda,City,Blue,CNG,2025-02-06,ACTIVE,UP16
233,HR26GH0233,233,Hyundai,i20,Blue,PETROL,2022-12-04,ACTIVE,HR26
234,MH12GH0234,234,Maruti Suzuki,Baleno,Grey,DIESEL,2021-06-07,ACTIVE,MH12
235,DL01GH0235,235,Honda,City,Silver,PETROL,2025-07-07,ACTIVE,DL01
236,HR26IJ0236,236,Maruti Suzuki,Baleno,Grey,DIESEL,2021-11-13,ACTIVE,HR26
237,DL05GH0237,237,Maruti Suzuki,Baleno,Blue,DIESEL,2021-08-11,ACTIVE,DL05
238,MH12IJ0238,238,Tata,Punch,Blue,EV,2024-11-23,ACTIVE,MH12
239,DL05EF0239,239,Mahindra,XUV700,Red,DIESEL,2023-08-12,ACTIVE,DL05
240,DL01GH0240,240,Kia,Seltos,Blue,CNG,2022-03-17,ACTIVE,DL01
241,DL05AB0241,241,,Innova,Blue,CNG,2025-04-07,ACTIVE,DL05
242,MH12EF0242,242,Maruti Suzuki,Swift,Black,EV,2022-02-19,ACTIVE,MH12
243,DL01EF0243,243,Hyundai,Creta,Black,PETROL,2022-02-25,ACTIVE,DL01
244,DL05AB0244,244,Maruti Suzuki,Swift,White,DIESEL,2022-10-01,ACTIVE,DL05
245,DL01CD0245,245,Tata,Punch,Black,CNG,2024-08-19,ACTIVE,DL01
246,HR26AB0246,246,Maruti Suzuki,Baleno,White,CNG,2020-11-10,ACTIVE,HR26
247,DL05CD0247,247,Toyota,Innova,Silver,EV,2024-06-25,ACTIVE,DL05
248,MH12EF0248,248,Hyundai,Creta,White,EV,2024-06-13,ACTIVE,MH12
249,HR26AB0249,249,Hyundai,i20,Blue,CNG,2022-10-22,ACTIVE,HR26
250,DL05EF0250,250,Hyundai,i20,Red,CNG,2022-11-27,ACTIVE,DL05
251,HR26AB0251,251,Maruti Suzuki,Swift,Grey,EV,2023-02-24,ACTIVE,HR26
252,DL05IJ0252,252,,City,Silver,EV,2022-01-19,ACTIVE,DL05
253,UP16EF0253,253,Mahindra,XUV700,Silver,CNG,2022-12-11,ACTIVE,UP16
254,UP16AB0254,254,Tata,Nexon,Black,DIESEL,2023-01-11,ACTIVE,UP16
255,UP16EF0255,255,Tata,Punch,Grey,CNG,2024-02-09,ACTIVE,UP16
256,HR26AB0256,256,Tata,Nexon,Grey,CNG,2025-05-23,SUSPENDED,HR26
257,MH12IJ0257,257,Kia,Seltos,Blue,EV,2021-01-13,ACTIVE,MH12
258,DL05GH0258,258,Maruti Suzuki,Swift,Black,EV,2023-07-30,SUSPENDED,DL05
259,DL01EF0259,259,Tata,Nexon,Red,EV,2023-06-19,ACTIVE,DL01
260,DL01EF0260,260,Tata,Nexon,Red,EV,2022-11-23,ACTIVE,DL01
261,DL01GH0261,261,Maruti Suzuki,Swift,White,CNG,2022-04-15,ACTIVE,DL01
262,DL01AB0262,262,Kia,Seltos,White,CNG,2023-12-03,ACTIVE,DL01
263,DL05GH0263,263,Maruti Suzuki,Swift,Grey,DIESEL,2020-10-08,SUSPENDED,DL05
264,DL01GH0264,264,Mahindra,XUV700,Blue,EV,2020-10-18,ACTIVE,DL01
265,MH12GH0265,265,Hyundai,Creta,Black,EV,2020-10-23,ACTIVE,MH12
266,DL05IJ0266,266,Maruti Suzuki,Swift,White,CNG,2023-05-21,ACTIVE,DL05
267,HR26AB0267,267,Honda,City,Grey,PETROL,2024-05-15,ACTIVE,HR26
268,UP16AB0268,268,Toyota,Innova,Red,PETROL,2022-09-12,ACTIVE,UP16
269,HR26EF0269,269,Maruti Suzuki,Baleno,Black,PETROL,2024-05-31,ACTIVE,HR26
270,DL01AB0270,270,Honda,City,Black,EV,2025-03-15,ACTIVE,DL01
271,UP16EF0271,271,Honda,City,Grey,PETROL,2022-12-29,ACTIVE,UP16
272,DL01IJ0272,272,Maruti Suzuki,Baleno,White,EV,2021-08-28,ACTIVE,DL01
273,DL05AB0273,273,Honda,City,Blue,EV,2021-12-01,ACTIVE,DL05
274,MH12GH0274,274,Toyota,Innova,Red,EV,2024-01-09,ACTIVE,MH12
275,MH12GH0275,275,Hyundai,Creta,Red,EV,2025-06-02,ACTIVE,MH12
276,DL05CD0276,276,Mahindra,XUV700,White,CNG,2021-02-22,ACTIVE,DL05
277,MH12EF0277,277,,Baleno,Blue,CNG,2021-02-05,ACTIVE,MH12
278,DL01EF0278,278,Kia,Seltos,White,PETROL,2021-12-11,ACTIVE,DL01
279,MH12CD0279,279,Maruti Suzuki,Baleno,Red,CNG,2021-04-05,ACTIVE,MH12
280,MH12AB0280,280,Toyota,Innova,White,CNG,2023-03-24,ACTIVE,MH12
281,UP16EF0281,281,Mahindra,XUV700,Red,CNG,2022-10-10,ACTIVE,UP16
282,DL05CD0282,282,Maruti Suzuki,Baleno,Blue,EV,2024-06-20,ACTIVE,DL05
283,HR26CD0283,283,Kia,Seltos,Silver,PETROL,2025-06-25,ACTIVE,HR26
284,MH12GH0284,284,Hyundai,i20,Silver,EV,2020-12-10,SUSPENDED,MH12
285,DL01AB0285,285,Toyota,Innova,Black,EV,2025-09-11,ACTIVE,DL01
286,MH12GH0286,286,Toyota,Innova,Red,DIESEL,2023-04-28,ACTIVE,MH12
287,MH12AB0287,287,Maruti Suzuki,Baleno,Silver,PETROL,2024-02-09,ACTIVE,MH12
288,DL01EF0288,288,Hyundai,Creta,White,CNG,2023-07-05,ACTIVE,DL01
289,DL01IJ0289,289,Hyundai,i20,Red,EV,2023-03-11,ACTIVE,DL01
