capture_id,plate_id,camera_id,captured_at,observed_make,observed_model,observed_colour,ocr_confidence
54,MH12GHO265,CAM001,2026-08-30T10:00:00,Hyundai,Creta,Black,0.955
55,DL05GHO208,CAM005,2026-08-03T10:00:00,Hyundai,Creta,Grey,0.982
56,MH12GHO595,CAM001,2026-07-08T14:00:00,Maruti Suzuki,Swift,Grey,0.64
57,MHI2GH0595,CAM001,2026-07-24T23:00:00,Maruti Suzuki,Swift,Grey,0.871
58,UP16ABO363,CAM001,2026-08-04T06:00:00,Honda,City,Black,0.833
59,UP16ABO363,CAM001,2026-07-06T07:00:00,Honda,City,Black,0.702
60,UP16AB052I,CAM004,2026-07-22T07:00:00,Hyundai,i20,Red,0.624
61,UPI6AB0521,CAM001,2026-08-30T16:00:00,Hyundai,i20,Red,0.652
62,MHI2AB0079,CAM002,2026-08-26T19:00:00,Tata,Nexon,Black,0.582
63,MH12AB0O79,CAM003,2026-08-28T12:00:00,Tata,Nexon,Black,0.571
64,DL05CDO282,CAM005,2026-08-20T01:00:00,Maruti Suzuki,Baleno,Blue,0.602
65,DLO5CD0282,CAM004,2026-08-25T12:00:00,Maruti Suzuki,Baleno,Blue,0.774
66,DLO5AB0338,CAM005,2026-08-07T03:00:00,Mahindra,XUV700,Silver,0.621
67,DL05GHO507,CAM002,2026-08-29T04:00:00,Kia,Seltos,Blue,0.732
68,UP16GH0O49,CAM005,2026-08-22T08:00:00,Toyota,Innova,Silver,0.923
69,UPI6AB0484,CAM003,2026-08-14T05:00:00,Tata,Nexon,Blue,0.563
70,UP16GHO304,CAM003,2026-09-04T00:00:00,Hyundai,Creta,Silver,0.614
71,DL01EFO159,CAM001,2026-07-15T02:00:00,Honda,City,Blue,0.73
72,HR26GH0O91,CAM001,2026-08-11T00:00:00,Hyundai,Creta,Grey,0.727
73,UP16ABO268,CAM001,2026-08-26T03:00:00,Toyota,Innova,Red,0.906
74,UPI6AB0268,CAM001,2026-08-29T06:00:00,Toyota,Innova,Red,0.984
75,DL01GH0119,CAM005,2026-07-13T04:00:00,Tata,Nexon,Grey,0.959
76,DL01GH0119,CAM004,2026-08-26T04:00:00,Tata,Nexon,Grey,0.946
77,MH12EF0216,CAM004,2026-08-16T19:00:00,Tata,Nexon,Red,0.854
78,MH12EF0569,CAM005,2026-08-25T07:00:00,Maruti Suzuki,Swift,Black,0.963
79,MH12EF0569,CAM003,2026-07-18T18:00:00,Maruti Suzuki,Swift,Black,0.91
80,UP16AB0361,CAM003,2026-08-14T19:00:00,Hyundai,Creta,Red,0.981
81,UP16CD0296,CAM004,2026-07-12T09:00:00,Tata,Punch,Grey,0.911
82,UP16AB0353,CAM001,2026-08-29T22:00:00,Toyota,Innova,Grey,0.941
83,UP16AB0353,CAM002,2026-08-16T10:00:00,Toyota,Innova,Grey,0.856
84,DL01EF0349,CAM001,2026-07-20T00:00:00,Hyundai,i20,Black,0.903
85,DL05CD0046,CAM001,2026-08-15T12:00:00,Kia,Seltos,Black,0.88
86,UP16CD0365,CAM003,2026-07-25T17:00:00,Hyundai,Creta,Blue,0.957
87,UP16CD0365,CAM002,2026-08-20T19:00:00,Hyundai,Creta,Blue,0.924
88,UP16AB0434,CAM002,2026-08-23T19:00:00,Hyundai,i20,Grey,0.989
89,UP16AB0434,CAM002,2026-08-11T10:00:00,Hyundai,i20,Grey,0.887
90,MH12EF0248,CAM001,2026-08-26T17:00:00,Hyundai,Creta,White,0.928
91,DL05IJ0388,CAM001,2026-08-29T20:00:00,Maruti Suzuki,Baleno,Blue,0.942
92,DL05GH0362,CAM004,2026-08-20T11:00:00,Honda,City,Black,0.876
93,DL05GH0362,CAM004,2026-08-27T13:00:00,Honda,City,Black,0.854
94,DL05GH0362,CAM003,2026-08-31T19:00:00,Honda,City,Black,0.878
95,DL01CD0245,CAM004,2026-07-30T21:00:00,Tata,Punch,Black,0.933
96,HR26EF0556,CAM005,2026-07-09T07:00:00,Honda,City,Blue,0.851
97,HR26EF0556,CAM004,2026-09-01T18:00:00,Honda,City,Blue,0.965
98,HR26CD0021,CAM005,2026-08-28T08:00:00,Maruti Suzuki,Baleno,Silver,0.909
99,UP16EF0179,CAM003,2026-08-16T06:00:00,Toyota,Innova,Black,0.952
100,DL01IJ0555,CAM004,2026-09-04T12:00:00,Tata,Nexon,Black,0.868
101,DL01IJ0043,CAM005,2026-08-04T16:00:00,Toyota,Innova,Blue,0.983
102,DL05GH0263,CAM003,2026-08-31T16:00:00,Maruti Suzuki,Swift,Grey,0.927
103,DL05GH0263,CAM005,2026-08-05T11:00:00,Maruti Suzuki,Swift,Grey,0.943
104,DL05GH0263,CAM005,2026-07-11T08:00:00,Maruti Suzuki,Swift,Grey,0.934
105,HR26EF0373,CAM002,2026-07-28T21:00:00,Tata,Nexon,White,0.887
106,HR26EF0373,CAM005,2026-08-04T22:00:00,Tata,Nexon,White,0.881
107,UP16GH0368,CAM003,2026-08-14T10:00:00,Tata,Punch,Blue,0.941
108,DL01EF0303,CAM002,2026-08-30T09:00:00,Maruti Suzuki,Baleno,Red,0.947
109,DL01EF0303,CAM001,2026-08-10T07:00:00,Maruti Suzuki,Baleno,Red,0.942
110,MH12AB0110,CAM003,2026-08-01T04:00:00,Hyundai,Creta,Silver,0.976
111,UP16EF0057,CAM003,2026-08-19T18:00:00,Tata,Nexon,Blue,0.963
112,UP16EF0057,CAM001,2026-07-23T18:00:00,Tata,Nexon,Blue,0.901
113,UP16EF0057,CAM001,2026-08-05T18:00:00,Tata,Nexon,Blue,0.918
114,MH12GH0458,CAM002,2026-07-19T08:00:00,Toyota,Innova,Red,0.929
115,MH12GH0458,CAM004,2026-08-31T14:00:00,Toyota,Innova,Red,0.861
116,MH12EF0201,CAM001,2026-08-12T14:00:00,Honda,City,White,0.911
117,MH12EF0201,CAM004,2026-07-13T06:00:00,Honda,City,White,0.895
118,DL05IJ0121,CAM001,2026-07-24T00:00:00,Maruti Suzuki,Baleno,Red,0.872
119,DL01AB0531,CAM001,2026-08-29T17:00:00,Maruti Suzuki,Baleno,Grey,0.939
120,DL05CD0462,CAM001,2026-07-31T02:00:00,Hyundai,Creta,Blue,0.878
121,DL01AB0371,CAM001,2026-08-17T23:00:00,Honda,City,Black,0.931
122,UP16GH0547,CAM002,2026-07-19T08:00:00,Maruti Suzuki,Swift,Red,0.869
123,UP16GH0547,CAM002,2026-08-06T13:00:00,Maruti Suzuki,Swift,Red,0.958
124,UP16CD0209,CAM004,2026-07-20T01:00:00,Maruti Suzuki,Baleno,Grey,0.991
125,UP16CD0209,CAM004,2026-07-16T21:00:00,Maruti Suzuki,Baleno,Grey,0.871
126,UP16CD0209,CAM002,2026-07-28T13:00:00,Maruti Suzuki,Baleno,Grey,0.924
127,DL05CD0155,CAM001,2026-08-28T13:00:00,Mahindra,XUV700,White,0.984
128,DL05CD0155,CAM003,2026-08-23T06:00:00,Mahindra,XUV700,White,0.96
129,DL01AB0189,CAM001,2026-08-19T19:00:00,Tata,Punch,Blue,0.918
130,DL01AB0189,CAM003,2026-07-25T15:00:00,Tata,Punch,Blue,0.952
131,DL01AB0189,CAM001,2026-07-11T11:00:00,Tata,Punch,Blue,0.94
132,DL05AB0563,CAM004,2026-07-22T23:00:00,Honda,City,Silver,0.904
133,DL05AB0563,CAM004,2026-08-11T04:00:00,Honda,City,Silver,0.978
134,UP16IJ0425,CAM004,2026-07-22T23:00:00,Tata,Nexon,White,0.885
135,DL05GH0214,CAM005,2026-08-11T19:00:00,Tata,Punch,Blue,0.95
136,DL05GH0214,CAM005,2026-08-01T14:00:00,Tata,Punch,Blue,0.982
137,HR26CD0200,CAM004,2026-07-31T11:00:00,Hyundai,i20,Red,0.934
138,MH12CD0038,CAM004,2026-07-09T05:00:00,Kia,Seltos,Grey,0.919
139,MH12CD0038,CAM004,2026-08-31T01:00:00,Kia,Seltos,Grey,0.978
140,MH12CD0038,CAM005,2026-08-18T22:00:00,Kia,Seltos,Grey,0.889
141,DL01AB0169,CAM002,2026-08-25T08:00:00,Hyundai,Creta,Black,0.887
142,DL05AB0145,CAM004,2026-07-20T16:00:00,Honda,City,White,0.919
143,DL01GH0157,CAM002,2026-08-12T13:00:00,Hyundai,Creta,White,0.921
144,UP16AB0171,CAM004,2026-08-28T05:00:00,Hyundai,i20,Blue,0.996
145,UP16GH0492,CAM001,2026-08-25T15:00:00,Maruti Suzuki,Baleno,Silver,0.861
146,UP16GH0492,CAM002,2026-08-02T16:00:00,Maruti Suzuki,Baleno,Silver,0.881
147,MH12CD0279,CAM003,2026-08-04T02:00:00,Maruti Suzuki,Baleno,Red,0.896
148,DL01CD0163,CAM005,2026-07-11T12:00:00,Mahindra,XUV700,Silver,0.98
149,MH12GH0387,CAM001,2026-07-23T04:00:00,Tata,Punch,Red,0.929
150,DL01GH0076,CAM004,2026-08-10T02:00:00,Hyundai,i20,Black,0.903
151,DL01GH0076,CAM005,2026-08-04T17:00:00,Hyundai,i20,Black,0.975
152,UP16IJ0375,CAM003,2026-07-08T10:00:00,Tata,Punch,Black,0.913
153,UP16IJ0375,CAM003,2026-08-18T11:00:00,Tata,Punch,Black,0.942
154,UP16IJ0375,CAM003,2026-08-19T19:00:00,Tata,Punch,Black,0.964
155,MH12EF0558,CAM005,2026-08-06T14:00:00,Maruti Suzuki,Baleno,Blue,0.922
156,HR26IJ0401,CAM001,2026-08-05T10:00:00,Hyundai,Creta,Blue,0.911
157,HR26IJ0401,CAM002,2026-09-02T02:00:00,Hyundai,Creta,Blue,0.982
158,DL01GH0429,CAM003,2026-08-06T13:00:00,Maruti Suzuki,Baleno,Blue,0.969
159,DL01GH0429,CAM002,2026-08-15T09:00:00,Maruti Suzuki,Baleno,Blue,0.932
160,HR26CD0026,CAM005,2026-08-10T04:00:00,Kia,Seltos,Blue,0.901
161,DL01CD0094,CAM002,2026-07-13T02:00:00,Honda,City,White,0.938
162,DL01CD0094,CAM001,2026-07-20T19:00:00,Honda,City,White,0.858
163,UP16GH0583,CAM001,2026-08-20T19:00:00,Maruti Suzuki,Baleno,Red,0.9
164,UP16GH0583,CAM001,2026-08-29T05:00:00,Maruti Suzuki,Baleno,Red,0.951
165,DL01CD0187,CAM001,2026-07-30T10:00:00,Tata,Nexon,Grey,0.998
166,DL01EF0297,CAM001,2026-08-05T02:00:00,Hyundai,i20,Red,0.892
167,DL01EF0297,CAM002,2026-07-29T05:00:00,Hyundai,i20,Red,0.938
168,UP16IJ0360,CAM002,2026-08-14T07:00:00,Kia,Seltos,Silver,0.993
169,UP16EF0433,CAM002,2026-08-28T21:00:00,Toyota,Innova,Silver,0.87
170,HR26AB0559,CAM004,2026-09-04T08:00:00,Honda,City,Red,0.983
171,HR26AB0559,CAM002,2026-08-16T13:00:00,Honda,City,Red,0.924
172,DL01GH0419,CAM002,2026-07-27T21:00:00,Kia,Seltos,Grey,0.938
173,MH12IJ0417,CAM003,2026-08-26T14:00:00,Hyundai,i20,Blue,0.985
174,MH12IJ0417,CAM005,2026-07-16T09:00:00,Hyundai,i20,Blue,0.956
175,UP16IJ0376,CAM005,2026-07-24T16:00:00,Kia,Seltos,White,0.895
176,UP16CD0202,CAM003,2026-08-05T00:00:00,Toyota,Innova,Red,0.986
177,MH12AB0456,CAM003,2026-07-13T02:00:00,Hyundai,Creta,Blue,0.886
178,MH12AB0456,CAM003,2026-08-05T06:00:00,Hyundai,Creta,Blue,0.955
179,DL05EF0347,CAM005,2026-08-01T07:00:00,Mahindra,XUV700,Grey,0.908
180,HR26IJ0322,CAM003,2026-09-01T08:00:00,Toyota,Innova,Silver,0.92
181,HR26IJ0322,CAM004,2026-08-08T06:00:00,Toyota,Innova,Silver,0.987
182,UP16EF0357,CAM001,2026-08-26T03:00:00,Maruti Suzuki,Baleno,Black,0.94
183,UP16EF0357,CAM002,2026-08-19T18:00:00,Maruti Suzuki,Baleno,Black,0.982
184,DL01EF0278,CAM002,2026-08-04T11:00:00,Kia,Seltos,White,0.993
185,DL01EF0278,CAM003,2026-07-14T20:00:00,Kia,Seltos,White,0.989
186,DL01EF0278,CAM005,2026-07-24T12:00:00,Kia,Seltos,White,0.94
187,DL05IJ0016,CAM003,2026-08-06T08:00:00,Honda,City,Silver,0.983
188,MH12AB0009,CAM001,2026-09-01T15:00:00,Tata,Punch,Red,0.987
189,DL01IJ0072,CAM002,2026-08-05T18:00:00,Tata,Punch,Red,0.901
190,UP16IJ0416,CAM005,2026-07-28T17:00:00,Toyota,Innova,Black,0.981
191,HR26AB0409,CAM004,2026-08-16T22:00:00,Hyundai,Creta,Grey,0.871
192,MH12AB0408,CAM004,2026-07-16T10:00:00,Honda,City,Red,0.967
193,UP16CD0120,CAM002,2026-07-25T14:00:00,Toyota,Innova,Grey,0.887
194,DL05EF0132,CAM004,2026-07-16T04:00:00,Maruti Suzuki,Swift,Blue,0.87
195,DL01AB0318,CAM003,2026-08-08T20:00:00,Maruti Suzuki,Baleno,Red,0.91
196,DL01AB0318,CAM003,2026-08-07T21:00:00,Maruti Suzuki,Baleno,Red,0.879
197,UP16EF0346,CAM004,2026-08-13T00:00:00,Maruti Suzuki,Swift,Black,0.914
198,HR26IJ0571,CAM003,2026-07-07T14:00:00,Tata,Punch,Black,0.893
199,DL05IJ0029,CAM003,2026-07-21T21:00:00,Maruti Suzuki,Baleno,Red,0.902
200,DL05IJ0029,CAM003,2026-07-29T14:00:00,Maruti Suzuki,Baleno,Red,0.975
201,DL05IJ0029,CAM005,2026-08-31T06:00:00,Maruti Suzuki,Baleno,Red,0.909
202,MH12EF0006,CAM005,2026-07-21T13:00:00,Mahindra,XUV700,White,0.926
203,MH12EF0006,CAM002,2026-07-26T00:00:00,Mahindra,XUV700,White,0.886
204,MH12IJ0095,CAM005,2026-08-26T02:00:00,Tata,Punch,White,0.889
205,UP16CD0003,CAM003,2026-08-29T02:00:00,Tata,Nexon,Grey,0.952
206,HR26AB0330,CAM005,2026-08-10T23:00:00,Tata,Punch,Grey,0.987
207,HR26IJ0149,CAM004,2026-08-24T02:00:00,Hyundai,Creta,Blue,0.955
208,HR26IJ0149,CAM001,2026-08-25T14:00:00,Hyundai,Creta,Blue,0.967
209,HR26IJ0149,CAM004,2026-07-13T08:00:00,Hyundai,Creta,Blue,0.966
210,DL01GH0176,CAM002,2026-07-11T14:00:00,Hyundai,Creta,White,0.858
211,MH12CD0307,CAM002,2026-07-06T08:00:00,Kia,Seltos,Silver,0.984
212,DL01AB0326,CAM004,2026-08-29T04:00:00,Maruti Suzuki,Swift,Black,0.963
213,DL01AB0326,CAM005,2026-07-21T20:00:00,Maruti Suzuki,Swift,Black,0.851
214,DL01AB0326,CAM001,2026-07-29T11:00:00,Maruti Suzuki,Swift,Black,0.989
215,DL05GH0412,CAM003,2026-08-07T15:00:00,Maruti Suzuki,Swift,Blue,0.972
216,HR26EF0562,CAM004,2026-09-01T19:00:00,Toyota,Innova,Silver,0.962
217,HR26EF0562,CAM004,2026-09-01T12:00:00,Toyota,Innova,Silver,0.931
218,HR26EF0562,CAM004,2026-08-08T16:00:00,Toyota,Innova,Silver,0.878
219,MH12AB0178,CAM002,2026-08-06T02:00:00,Toyota,Innova,Grey,0.875
220,HR26EF0576,CAM003,2026-07-15T19:00:00,Hyundai,i20,Blue,0.93
221,HR26EF0576,CAM004,2026-08-20T05:00:00,Hyundai,i20,Blue,0.935
222,UP16AB0471,CAM005,2026-07-21T01:00:00,Hyundai,Creta,Red,0.896
223,UP16AB0471,CAM004,2026-08-07T15:00:00,Hyundai,Creta,Red,0.854
224,DL05IJ0266,CAM003,2026-08-03T16:00:00,Maruti Suzuki,Swift,White,0.928
225,HR26IJ0175,CAM002,2026-08-31T04:00:00,Toyota,Innova,Blue,0.962
226,HR26IJ0175,CAM003,2026-07-27T02:00:00,Toyota,Innova,Blue,0.973
227,MH12IJ0257,CAM001,2026-08-30T10:00:00,Kia,Seltos,Blue,0.909
228,MH12IJ0257,CAM002,2026-08-18T14:00:00,Kia,Seltos,Blue,0.905
229,MH12IJ0257,CAM002,2026-08-13T17:00:00,Kia,Seltos,Blue,0.998
230,UP16CD0170,CAM005,2026-08-09T06:00:00,Tata,Punch,Grey,0.99
231,DL05EF0463,CAM002,2026-08-10T11:00:00,Maruti Suzuki,Swift,Black,0.857
232,UP16EF0031,CAM002,2026-07-23T05:00:00,Mahindra,XUV700,White,0.999
233,MH12EF0093,CAM003,2026-08-30T04:00:00,Tata,Nexon,Red,0.975
234,HR26AB0131,CAM003,2026-08-12T21:00:00,Honda,City,Red,0.99
235,HR26AB0131,CAM002,2026-07-17T04:00:00,Honda,City,Red,0.872
236,HR26AB0131,CAM003,2026-07-28T20:00:00,Honda,City,Red,0.879
237,DL01GH0575,CAM005,2026-08-30T12:00:00,Honda,City,Grey,0.871
238,DL01GH0575,CAM005,2026-09-04T01:00:00,Honda,City,Grey,0.878
239,HR26CD0485,CAM005,2026-07-25T07:00:00,Maruti Suzuki,Swift,Silver,0.918
240,HR26CD0485,CAM005,2026-07-24T13:00:00,Maruti Suzuki,Swift,Silver,0.945
241,UP16GH0379,CAM005,2026-07-18T03:00:00,Honda,City,Grey,0.934
242,DL01CD0533,CAM002,2026-07-13T06:00:00,Tata,Nexon,Red,0.972
243,HR26AB0385,CAM004,2026-08-25T19:00:00,Kia,Seltos,Grey,0.881
244,HR26AB0385,CAM001,2026-07-29T06:00:00,Kia,Seltos,Grey,0.945
245,MH12EF0432,CAM003,2026-07-22T20:00:00,Hyundai,i20,Red,0.922
246,MH12EF0432,CAM001,2026-07-24T00:00:00,Hyundai,i20,Red,0.897
247,DL01IJ0182,CAM003,2026-07-05T21:00:00,Maruti Suzuki,Swift,Silver,0.852
248,DL01IJ0182,CAM005,2026-07-23T11:00:00,Maruti Suzuki,Swift,Silver,0.886
249,MH12EF0585,CAM004,2026-09-03T01:00:00,Toyota,Innova,White,0.947
250,HR26EF0310,CAM005,2026-08-08T20:00:00,Tata,Nexon,Black,0.904
251,HR26EF0310,CAM002,2026-08-11T03:00:00,Tata,Nexon,Black,0.956
252,DL05GH0465,CAM004,2026-08-15T23:00:00,Maruti Suzuki,Swift,Silver,0.961
253,DL05GH0465,CAM005,2026-08-12T18:00:00,Maruti Suzuki,Swift,Silver,0.901
254,DL05GH0465,CAM002,2026-08-27T22:00:00,Maruti Suzuki,Swift,Silver,0.992
255,HR26EF0222,CAM002,2026-07-11T17:00:00,Maruti Suzuki,Baleno,Grey,0.989
256,DL01EF0517,CAM001,2026-07-19T05:00:00,Kia,Seltos,Red,0.946
257,DL01EF0517,CAM002,2026-08-05T11:00:00,Kia,Seltos,Red,0.909
258,DL05EF0455,CAM001,2026-08-14T11:00:00,Mahindra,XUV700,Silver,0.928
259,MH12IJ0313,CAM005,2026-08-27T16:00:00,Maruti Suzuki,Baleno,Red,0.978
260,DL05EF0554,CAM001,2026-09-02T05:00:00,Mahindra,XUV700,Black,0.983
261,DL01EF0370,CAM005,2026-07-08T17:00:00,Maruti Suzuki,Swift,Black,0.968
262,UP16AB0254,CAM005,2026-07-16T19:00:00,Tata,Nexon,Black,0.898
263,UP16AB0254,CAM005,2026-07-31T19:00:00,Tata,Nexon,Black,0.918
264,MH12CD0423,CAM002,2026-08-15T19:00:00,Honda,City,White,0.898
265,MH12CD0423,CAM004,2026-07-18T19:00:00,Honda,City,White,0.88
266,MH12CD0423,CAM001,2026-07-20T23:00:00,Honda,City,White,0.941
267,DL05IJ0150,CAM005,2026-08-15T21:00:00,Toyota,Innova,Black,0.883
268,DL01CD0403,CAM004,2026-07-31T13:00:00,Maruti Suzuki,Baleno,Grey,0.996
269,HR26IJ0443,CAM003,2026-09-03T17:00:00,Maruti Suzuki,Swift,Blue,0.927
270,HR26IJ0443,CAM001,2026-09-03T18:00:00,Maruti Suzuki,Swift,Blue,0.974
271,HR26IJ0369,CAM004,2026-07-10T01:00:00,Maruti Suzuki,Swift,Red,0.855
272,HR26IJ0369,CAM003,2026-08-24T18:00:00,Maruti Suzuki,Swift,Red,0.969
273,DL05GH0018,CAM005,2026-08-29T17:00:00,Toyota,Innova,Blue,0.974
274,DL05EF0294,CAM001,2026-07-18T09:00:00,Kia,Seltos,Blue,0.886
275,HR26EF0530,CAM001,2026-08-20T01:00:00,Hyundai,i20,Grey,0.918
276,HR26EF0530,CAM002,2026-07-29T04:00:00,Hyundai,i20,Grey,0.853
277,HR26EF0530,CAM003,2026-07-10T14:00:00,Hyundai,i20,Grey,0.983
278,UP16IJ0488,CAM002,2026-08-29T01:00:00,Tata,Punch,Grey,0.893
279,MH12GH0284,CAM002,2026-07-20T21:00:00,Hyundai,i20,Silver,0.915
280,HR26GH0415,CAM004,2026-07-15T18:00:00,Hyundai,i20,Blue,0.931
281,DL01AB0054,CAM001,2026-08-17T12:00:00,Tata,Punch,Grey,0.949
282,UP16IJ0535,CAM005,2026-08-16T09:00:00,Maruti Suzuki,Baleno,Blue,0.964
283,UP16IJ0535,CAM005,2026-07-12T20:00:00,Maruti Suzuki,Baleno,Blue,0.889
284,MH12CD0470,CAM002,2026-07-08T03:00:00,Toyota,Innova,Grey,0.953
285,MH12CD0470,CAM002,2026-08-06T03:00:00,Toyota,Innova,Grey,0.872
286,MH12CD0470,CAM003,2026-09-04T12:00:00,Toyota,Innova,Grey,0.87
287,UP16EF0301,CAM004,2026-08-18T15:00:00,Kia,Seltos,Silver,0.884
288,UP16EF0301,CAM004,2026-09-01T17:00:00,Kia,Seltos,Silver,0.899
289,UP16EF0301,CAM001,2026-08-15T21:00:00,Kia,Seltos,Silver,0.894
290,MH12AB0092,CAM003,2026-07-09T01:00:00,Tata,Punch,Grey,0.861
291,DL05CD0036,CAM001,2026-07-15T03:00:00,Maruti Suzuki,Baleno,Red,0.95
292,DL05CD0036,CAM002,2026-07-21T08:00:00,Maruti Suzuki,Baleno,Red,0.853
293,DL01AB0285,CAM003,2026-08-15T01:00:00,Toyota,Innova,Black,0.886
294,DL01AB0285,CAM005,2026-07-11T02:00:00,Toyota,Innova,Black,0.926
295,UP16EF0384,CAM003,2026-08-28T03:00:00,Toyota,Innova,Red,0.989
296,UP16EF0384,CAM003,2026-08-02T13:00:00,Toyota,Innova,Red,0.925
297,UP16EF0384,CAM005,2026-07-30T02:00:00,Toyota,Innova,Red,0.926
298,DL05AB0420,CAM005,2026-08-21T00:00:00,Mahindra,XUV700,Grey,0.857
299,DL05AB0420,CAM003,2026-08-24T17:00:00,Mahindra,XUV700,Grey,0.909
300,DL05AB0420,CAM001,2026-08-14T03:00:00,Mahindra,XUV700,Grey,0.87
301,DL05CD0276,CAM005,2026-08-04T12:00:00,Mahindra,XUV700,White,0.858
302,DL05CD0276,CAM003,2026-07-21T21:00:00,Mahindra,XUV700,White,0.972
303,UP16EF0400,CAM005,2026-08-28T22:00:00,Kia,Seltos,Red,0.989
304,UP16EF0400,CAM002,2026-09-01T18:00:00,Kia,Seltos,Red,0.928
305,UP16EF0400,CAM005,2026-08-16T12:00:00,Kia,Seltos,Red,0.853
306,HR26CD0329,CAM004,2026-07-11T10:00:00,Mahindra,XUV700,Silver,0.89
