policy_id,vehicle_reg,insurer_id,policy_type,policy_start,policy_until,is_active,premium_inr
130,UP-16-CD-0202,4,THIRD_PARTY,03/12/2025,18/06/2027,1,12810.76
131,MH-12-AB-0456,2,THIRD_PARTY,01/03/2026,21/04/2027,1,15685.21
132,DL-05-EF-0347,1,COMPREHENSIVE,25/04/2026,13/12/2026,1,14376.71
133,HR-26-IJ-0322,1,COMPREHENSIVE,05/05/2026,29/04/2027,1,4161.53
134,UP-16-EF-0357,3,COMPREHENSIVE,16/02/2026,09/03/2027,1,15648.09
135,DL-01-EF-0278,5,COMPREHENSIVE,11/02/2026,29/11/2026,1,16284.07
136,DL-05-IJ-0016,1,COMPREHENSIVE,01/04/2026,13/08/2027,1,11733.87
137,MH-12-AB-0009,2,THIRD_PARTY,23/12/2025,04/12/2026,1,11094.78
138,DL-01-IJ-0072,1,THIRD_PARTY,07/06/2026,03/05/2027,1,9690.76
139,UP-16-IJ-0416,4,COMPREHENSIVE,30/04/2026,07/04/2027,1,10271.1
140,HR-26-AB-0409,3,THIRD_PARTY,17/01/2026,16/01/2027,1,13230.65
141,MH-12-AB-0408,1,THIRD_PARTY,21/02/2026,01/01/2027,1,4751.73
142,UP-16-CD-0120,5,COMPREHENSIVE,22/04/2026,30/12/2026,1,6186.54
143,DL-05-EF-0132,3,COMPREHENSIVE,05/05/2026,08/01/2027,1,11350.82
144,DL-01-AB-0318,2,THIRD_PARTY,16/02/2026,27/06/2027,1,10052.63
145,UP-16-EF-0346,3,COMPREHENSIVE,25/05/2026,13/02/2027,1,14818.66
146,HR-26-IJ-0571,5,COMPREHENSIVE,21/12/2025,16/11/2026,1,6157.52
147,DL-05-IJ-0029,1,COMPREHENSIVE,20/06/2026,08/03/2027,1,6319.48
148,MH-12-EF-0006,5,COMPREHENSIVE,02/06/2026,03/12/2026,1,15046.56
149,MH-12-IJ-0095,1,COMPREHENSIVE,26/12/2025,06/05/2027,1,13208.56
150,UP-16-CD-0003,2,COMPREHENSIVE,19/02/2026,16/04/2027,1,9065.72
151,HR-26-AB-0330,4,COMPREHENSIVE,17/12/2025,22/07/2027,1,6839.18
152,HR-26-IJ-0149,3,THIRD_PARTY,13/05/2026,08/12/2026,1,12068.77
153,DL-01-GH-0176,4,THIRD_PARTY,15/12/2025,24/02/2027,1,11611.33
154,MH-12-CD-0307,4,COMPREHENSIVE,24/03/2026,29/06/2027,1,4413.84
155,DL-01-AB-0326,3,THIRD_PARTY,22/05/2026,23/01/2027,1,4498.45
156,DL-05-GH-0412,2,THIRD_PARTY,30/12/2025,27/06/2027,1,15290.26
157,HR-26-EF-0562,2,COMPREHENSIVE,05/12/2025,05/02/2027,1,5527.69
158,MH-12-AB-0178,4,THIRD_PARTY,22/03/2026,20/07/2027,1,6679.63
159,HR-26-EF-0576,1,THIRD_PARTY,31/03/2026,19/07/2027,1,13328.62
160,UP-16-AB-0471,2,THIRD_PARTY,26/11/2025,23/04/2027,1,5893.74
161,DL-05-IJ-0266,3,THIRD_PARTY,24/07/2026,12/05/2027,1,12363.74
162,HR-26-IJ-0175,3,THIRD_PARTY,08/11/2025,21/04/2027,1,13401.33
163,MH-12-IJ-0257,5,COMPREHENSIVE,06/02/2026,01/09/2027,1,9343.05
164,UP-16-CD-0170,4,THIRD_PARTY,26/06/2026,06/06/2027,1,12607.87
165,DL-05-EF-0463,2,COMPREHENSIVE,20/01/2026,30/04/2027,1,7470.14
166,UP-16-EF-0031,2,THIRD_PARTY,24/12/2025,07/07/2027,1,17872.44
167,MH-12-EF-0093,4,THIRD_PARTY,08/01/2026,26/01/2027,1,10481.21
168,HR-26-AB-0131,1,COMPREHENSIVE,10/01/2026,12/05/2027,1,16217.71
169,DL-01-GH-0575,4,THIRD_PARTY,16/06/2026,31/12/2026,1,8161.35
170,HR-26-CD-0485,5,COMPREHENSIVE,23/07/2026,31/07/2027,1,7171.58
171,UP-16-GH-0379,2,COMPREHENSIVE,28/07/2026,04/08/2027,1,12001.25
172,DL-01-CD-0533,1,THIRD_PARTY,15/02/2026,27/08/2027,1,6706.19
173,HR-26-AB-0385,1,THIRD_PARTY,07/04/2026,06/01/2027,1,14520.19
174,MH-12-EF-0432,1,THIRD_PARTY,15/01/2026,17/11/2026,1,17849.93
175,DL-01-IJ-0182,4,COMPREHENSIVE,07/05/2026,01/09/2027,1,7543.55
176,MH-12-EF-0585,2,THIRD_PARTY,12/02/2026,27/01/2027,1,3541.44
177,HR-26-EF-0310,1,COMPREHENSIVE,10/04/2026,22/12/2026,1,14483.17
178,DL-05-GH-0465,4,THIRD_PARTY,07/12/2025,06/11/2026,1,15823.65
179,HR-26-EF-0222,2,THIRD_PARTY,22/04/2026,02/04/2027,1,13431.94
180,DL-01-EF-0517,4,THIRD_PARTY,07/12/2025,30/08/2027,1,7013.81
181,DL-05-EF-0455,4,COMPREHENSIVE,06/04/2026,10/08/2027,1,5464.89
182,MH-12-IJ-0313,1,THIRD_PARTY,05/03/2026,13/07/2027,1,8622.53
183,DL-05-EF-0554,3,COMPREHENSIVE,13/06/2026,15/06/2027,1,10462.99
184,DL-01-EF-0370,3,COMPREHENSIVE,04/03/2026,01/07/2027,1,7021.53
185,UP-16-AB-0254,2,THIRD_PARTY,05/08/2026,30/08/2027,1,17272.27
186,MH-12-CD-0423,5,THIRD_PARTY,16/11/2025,16/03/2027,1,9135.58
187,DL-05-IJ-0150,1,THIRD_PARTY,04/12/2025,12/06/2027,1,10273.67
188,DL-01-CD-0403,2,THIRD_PARTY,04/06/2026,16/01/2027,1,11405.38
189,HR-26-IJ-0443,3,THIRD_PARTY,08/05/2026,03/03/2027,1,14121.44
190,HR-26-IJ-0369,5,THIRD_PARTY,13/05/2026,10/07/2027,1,16427.8
191,DL-05-GH-0018,1,COMPREHENSIVE,08/11/2025,30/08/2027,1,8450.96
192,DL-05-EF-0294,1,THIRD_PARTY,23/05/2026,13/06/2027,1,8000.87
193,HR-26-EF-0530,3,THIRD_PARTY,30/07/2026,01/01/2027,1,4176.88
194,UP-16-IJ-0488,2,COMPREHENSIVE,12/02/2026,03/01/2027,1,17158.28
195,MH-12-GH-0284,5,THIRD_PARTY,10/03/2026,19/06/2027,1,4310.55
196,HR-26-GH-0415,2,THIRD_PARTY,30/12/2025,14/12/2026,1,7286.45
197,DL-01-AB-0054,3,COMPREHENSIVE,02/04/2026,27/02/2027,1,16513.11
198,UP-16-IJ-0535,4,COMPREHENSIVE,21/11/2025,11/03/2027,1,5456.4
199,MH-12-CD-0470,4,COMPREHENSIVE,27/12/2025,09/07/2027,1,4964.84
200,UP-16-EF-0301,2,COMPREHENSIVE,07/01/2026,03/05/2027,1,7166.18
201,MH-12-AB-0092,4,COMPREHENSIVE,23/02/2026,29/03/2027,1,4107.29
202,DL-05-CD-0036,3,COMPREHENSIVE,01/03/2026,21/08/2027,1,8513.33
203,DL-01-AB-0285,5,THIRD_PARTY,18/11/2025,26/01/2027,1,6431.89
204,UP-16-EF-0384,4,THIRD_PARTY,25/07/2026,14/01/2027,1,9180.67
205,DL-05-AB-0420,3,COMPREHENSIVE,11/03/2026,21/12/2026,1,11486.83
206,DL-05-CD-0276,3,COMPREHENSIVE,20/01/2026,31/05/2027,1,16068.16
207,UP-16-EF-0400,2,COMPREHENSIVE,12/02/2026,11/11/2026,1,6091.86
208,HR-26-CD-0329,2,COMPREHENSIVE,27/06/2026,14/01/2027,1,15583.01
209,MH-12-IJ-0238,1,COMPREHENSIVE,19/05/2026,15/06/2027,1,8692.87
210,DL-05-AB-0241,1,COMPREHENSIVE,14/11/2025,07/11/2026,1,14429.59
211,DL-05-AB-0005,4,THIRD_PARTY,29/11/2025,18/12/2026,1,11963.46
212,DL-05-AB-0339,3,COMPREHENSIVE,21/12/2025,24/11/2026,1,16021.83
213,DL-05-IJ-0309,5,COMPREHENSIVE,05/08/2026,03/07/2027,1,4374.02
214,MH-12-GH-0286,4,THIRD_PARTY,31/03/2026,30/06/2027,1,8769.04
215,MH-12-IJ-0205,3,THIRD_PARTY,18/11/2025,04/04/2027,1,5397.96
216,DL-01-EF-0446,5,COMPREHENSIVE,05/05/2026,26/06/2027,1,7063.19
217,HR-26-GH-0015,5,COMPREHENSIVE,01/12/2025,09/06/2027,1,7986.13
218,DL-01-AB-0180,1,COMPREHENSIVE,30/01/2026,10/07/2027,1,7602.95
219,UP-16-AB-0331,5,COMPREHENSIVE,30/03/2026,08/05/2027,1,5931.15
220,DL-05-IJ-0252,3,COMPREHENSIVE,04/07/2026,16/12/2026,1,15415.9
221,UP-16-AB-0184,1,COMPREHENSIVE,26/03/2026,09/05/2027,1,16834.75
222,DL-05-GH-0130,4,THIRD_PARTY,25/06/2026,12/08/2027,1,8384.17
223,DL-01-CD-0567,4,THIRD_PARTY,29/07/2026,17/01/2027,1,17019.32
224,HR-26-AB-0597,4,THIRD_PARTY,21/05/2026,15/02/2027,1,4195.11
225,UP-16-IJ-0508,2,THIRD_PARTY,28/01/2026,27/03/2027,1,17650.53
226,DL-01-IJ-0393,1,COMPREHENSIVE,05/02/2026,03/05/2027,1,15608.72
227,HR-26-AB-0256,4,COMPREHENSIVE,02/05/2026,16/03/2027,1,16067.66
228,DL-01-CD-0406,2,COMPREHENSIVE,10/11/2025,10/02/2027,1,8276.14
229,DL-01-EF-0156,5,COMPREHENSIVE,21/06/2026,07/11/2026,1,14534.95
230,HR-26-IJ-0226,2,COMPREHENSIVE,10/02/2026,05/02/2027,1,11086.73
231,DL-05-GH-0166,5,THIRD_PARTY,04/02/2026,05/11/2026,1,10046.8
232,MH-12-EF-0229,5,COMPREHENSIVE,11/07/2026,10/03/2027,1,11581.36
233,UP-16-EF-0271,2,COMPREHENSIVE,05/01/2026,18/01/2027,1,14254.69
234,DL-05-EF-0493,5,THIRD_PARTY,24/04/2026,20/08/2027,1,17793.41
235,DL-05-IJ-0128,3,COMPREHENSIVE,12/07/2026,28/05/2027,1,14318.9
236,UP-16-IJ-0350,3,THIRD_PARTY,21/03/2026,13/07/2027,1,14746.14
237,DL-01-IJ-0426,1,THIRD_PARTY,18/07/2026,04/03/2027,1,10788.12
238,DL-01-IJ-0447,5,COMPREHENSIVE,29/01/2026,18/05/2027,1,8941.68
239,DL-01-IJ-0063,5,COMPREHENSIVE,15/02/2026,06/01/2027,1,10924.84
240,MH-12-AB-0280,4,COMPREHENSIVE,21/01/2026,05/04/2027,1,13791.55
241,UP-16-CD-0392,4,COMPREHENSIVE,12/02/2026,10/06/2027,1,11800.75
242,DL-05-CD-0509,2,THIRD_PARTY,11/06/2026,23/02/2027,1,9873.6
243,UP-16-EF-0197,5,COMPREHENSIVE,01/04/2026,19/02/2027,1,4711.97
244,MH-12-GH-0358,4,THIRD_PARTY,20/05/2026,13/11/2026,1,9167.2
245,MH-12-EF-0395,3,THIRD_PARTY,29/03/2026,05/08/2027,1,11069.94
246,DL-01-CD-0354,1,THIRD_PARTY,08/04/2026,11/07/2027,1,4170.17
247,DL-05-CD-0540,1,THIRD_PARTY,21/02/2026,28/11/2026,1,9263.53
248,UP-16-GH-0165,5,COMPREHENSIVE,02/06/2026,09/04/2027,1,10567.01
249,MH-12-AB-0087,5,COMPREHENSIVE,23/04/2026,27/11/2026,1,8229.7
250,DL-01-EF-0541,1,COMPREHENSIVE,10/03/2026,08/04/2027,1,12305.81
251,UP-16-GH-0380,4,THIRD_PARTY,13/12/2025,06/08/2027,1,5433.82
252,DL-05-AB-0126,5,COMPREHENSIVE,14/11/2025,07/04/2027,1,3630.05
253,DL-05-IJ-0332,1,THIRD_PARTY,12/05/2026,25/07/2027,1,12072.29
254,UP-16-GH-0017,4,COMPREHENSIVE,04/03/2026,24/01/2027,1,3936.77
255,HR-26-AB-0107,5,THIRD_PARTY,26/06/2026,07/03/2027,1,12672.59
256,DL-05-EF-0308,1,THIRD_PARTY,11/06/2026,04/03/2027,1,14425.15
257,DL-05-IJ-0520,4,THIRD_PARTY,17/12/2025,09/02/2027,1,7059.94
258,DL-05-AB-0325,5,COMPREHENSIVE,28/01/2026,03/11/2026,1,3756.07
259,UP-16-EF-0008,1,THIRD_PARTY,03/02/2026,28/03/2027,1,4945.28
260,MH-12-EF-0242,4,THIRD_PARTY,04/05/2026,09/07/2027,1,15254.09
261,DL-01-CD-0195,4,COMPREHENSIVE,02/02/2026,29/01/2027,1,9795.3
262,MH-12-CD-0476,1,COMPREHENSIVE,17/12/2025,06/08/2027,1,3919.76
263,DL-01-GH-0439,5,COMPREHENSIVE,20/04/2026,22/08/2027,1,4927.2
264,UP-16-CD-0343,5,COMPREHENSIVE,03/04/2026,08/04/2027,1,4462.67
265,MH-12-IJ-0078,2,THIRD_PARTY,13/03/2026,16/01/2027,1,17727.24
266,UP-16-GH-0203,5,COMPREHENSIVE,29/05/2026,31/07/2027,1,3534.04
267,UP-16-GH-0451,4,COMPREHENSIVE,12/04/2026,16/08/2027,1,14538.79
268,UP-16-IJ-0418,4,THIRD_PARTY,21/01/2026,07/11/2026,1,12266.88
269,MH-12-GH-0482,3,COMPREHENSIVE,22/02/2026,05/05/2027,1,7784.66
270,DL-05-AB-0108,3,THIRD_PARTY,24/07/2026,28/03/2027,1,9385.83
271,MH-12-AB-0564,4,THIRD_PARTY,27/07/2026,28/06/2027,1,13867.59
272,MH-12-EF-0324,4,COMPREHENSIVE,04/04/2026,12/08/2027,1,8195.93
273,DL-01-AB-0147,3,THIRD_PARTY,08/02/2026,30/12/2026,1,14012.93
274,HR-26-GH-0230,3,THIRD_PARTY,12/03/2026,21/07/2027,1,13934.16
275,DL-01-AB-0514,5,COMPREHENSIVE,14/04/2026,22/05/2027,1,10879.67
276,DL-05-AB-0499,1,COMPREHENSIVE,17/01/2026,20/03/2027,1,5985.13
277,DL-01-GH-0599,1,COMPREHENSIVE,20/11/2025,09/06/2027,1,7890.31
278,DL-01-EF-0511,5,COMPREHENSIVE,10/07/2026,24/04/2027,1,16726.35
279,UP-16-EF-0140,3,COMPREHENSIVE,16/06/2026,28/06/2027,1,15313.34
280,DL-05-EF-0461,1,THIRD_PARTY,14/11/2025,06/04/2027,1,4057.6
281,HR-26-EF-0527,5,COMPREHENSIVE,13/12/2025,15/12/2026,1,3594.35
282,DL-05-GH-0549,3,COMPREHENSIVE,02/04/2026,11/07/2027,1,12244.16
283,HR-26-IJ-0510,1,THIRD_PARTY,17/06/2026,15/05/2027,1,7011.71
284,DL-01-CD-0588,5,COMPREHENSIVE,17/12/2025,15/12/2026,1,14510.81
285,HR-26-IJ-0088,3,COMPREHENSIVE,24/12/2025,03/02/2027,1,13026.05
286,DL-01-CD-0598,4,COMPREHENSIVE,13/11/2025,21/11/2026,1,16857.17
287,UP-16-CD-0391,2,THIRD_PARTY,05/03/2026,13/08/2027,1,16582.2
288,DL-01-EF-0437,5,COMPREHENSIVE,22/06/2026,16/06/2027,1,3546.39
289,MH-12-AB-0537,4,THIRD_PARTY,31/07/2026,21/06/2027,1,10528.04
290,UP-16-GH-0104,1,COMPREHENSIVE,23/06/2026,09/11/2026,1,14177.27
291,DL-05-IJ-0466,4,THIRD_PARTY,10/04/2026,06/11/2026,1,3594.82
292,MH-12-IJ-0052,1,COMPREHENSIVE,25/04/2026,27/07/2027,1,3924.79
293,MH-12-AB-0287,4,COMPREHENSIVE,19/01/2026,26/06/2027,1,7873.75
294,MH-12-AB-0424,1,THIRD_PARTY,03/07/2026,31/07/2027,1,15347.65
295,UP-16-IJ-0502,1,THIRD_PARTY,14/07/2026,31/07/2027,1,4785.22
296,HR-26-GH-0037,4,COMPREHENSIVE,04/07/2026,27/05/2027,1,17391.29
297,DL-01-GH-0138,4,COMPREHENSIVE,15/01/2026,07/07/2027,1,12092.13
298,HR-26-CD-0475,4,COMPREHENSIVE,29/05/2026,29/08/2027,1,9196.89
