plate_number,expected_decision,expected_confidence,basis
HR26AB0107,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-04, seen by camera 2026-07-09T16:00:00"
DL05AB0108,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-20, seen by camera 2026-08-09T17:00:00"
MH12IJ0109,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-24, seen by camera 2026-07-20T00:00:00"
MH12AB0110,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-09, seen by camera 2026-07-23T04:00:00"
MH12AB0111,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-27, seen by camera 2026-07-29T16:00:00"
DL05GH0112,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-08-09, never seen by a camera"
UP16AB0113,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-31, seen by camera 2026-08-14T06:00:00"
MH12GH0114,UNINSURED — REPORT,HIGH,no insurance policy on record
HR26AB0115,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-24, seen by camera 2026-08-10T23:00:00"
DL05GH0116,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-21, seen by camera 2026-07-28T00:00:00"
DL01AB0117,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-26, seen by camera 2026-07-11T14:00:00"
DL01AB0118,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-05, seen by camera 2026-08-11T19:00:00"
DL01GH0119,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
UP16CD0120,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-11, seen by camera 2026-08-13T23:00:00"
DL05IJ0121,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-08, seen by camera 2026-08-30T05:00:00"
DL05CD0122,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-06-14
DL01AB0123,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-06, seen by camera 2026-07-31T06:00:00"
DL01AB0124,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-21, seen by camera 2026-08-04T02:00:00"
UP16IJ0125,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-12-04, never seen by a camera"
DL05AB0126,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-07, seen by camera 2026-08-11T08:00:00"
DL05CD0127,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-11, seen by camera 2026-07-26T18:00:00"
DL05IJ0128,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-10, seen by camera 2026-08-10T06:00:00"
DL05AB0129,UNINSURED — REPORT,HIGH,latest policy ended 2026-03-31
DL05GH0130,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-04, seen by camera 2026-08-11T02:00:00"
HR26AB0131,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-14, seen by camera 2026-07-08T00:00:00"
DL05EF0132,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-20, seen by camera 2026-08-19T17:00:00"
UP16IJ0133,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-30, seen by camera 2026-08-12T19:00:00"
DL01GH0134,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-03, seen by camera 2026-09-02T13:00:00"
UP16EF0135,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-15, seen by camera 2026-08-02T20:00:00"
HR26GH0136,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-02, seen by camera 2026-08-10T04:00:00"
MH12CD0137,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-13, seen by camera 2026-09-01T07:00:00"
DL01GH0138,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-30, seen by camera 2026-09-03T14:00:00"
HR26GH0139,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-13, seen by camera 2026-07-24T16:00:00"
UP16EF0140,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-30, seen by camera 2026-08-04T06:00:00"
DL05GH0141,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-20, seen by camera 2026-07-27T21:00:00"
DL01IJ0142,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
DL01GH0143,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-15, seen by camera 2026-08-26T19:00:00"
DL05EF0144,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-07-07, never seen by a camera"
DL05AB0145,UNINSURED — REPORT,HIGH,no insurance policy on record
DL05EF0146,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-15, seen by camera 2026-09-01T15:00:00"
DL01AB0147,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-23, seen by camera 2026-08-06T02:00:00"
DL05EF0148,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-01, seen by camera 2026-08-15T02:00:00"
HR26IJ0149,UNINSURED — REPORT,HIGH,latest policy ended 2026-05-01
DL05IJ0150,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-04, seen by camera 2026-07-23T09:00:00"
HR26EF0151,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-19, seen by camera 2026-08-20T19:00:00"
HR26AB0152,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-04, seen by camera 2026-08-10T10:00:00"
MH12EF0153,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-05, seen by camera 2026-08-29T16:00:00"
HR26AB0154,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-28, seen by camera 2026-07-29T17:00:00"
DL05CD0155,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-16, seen by camera 2026-08-26T02:00:00"
DL01EF0156,UNINSURED — REPORT,HIGH,no insurance policy on record
DL01GH0157,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-26, seen by camera 2026-08-19T04:00:00"
HR26AB0158,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
DL01EF0159,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-08, seen by camera 2026-08-06T06:00:00"
DL05CD0160,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-13, seen by camera 2026-07-26T00:00:00"
HR26GH0161,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-19, seen by camera 2026-07-12T10:00:00"
UP16CD0162,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-05, seen by camera 2026-08-11T03:00:00"
DL01CD0163,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-30, seen by camera 2026-08-02T13:00:00"
DL01IJ0164,UNINSURED — REPORT,HIGH,latest policy ended 2026-05-23
UP16GH0165,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-20, seen by camera 2026-09-01T08:00:00"
DL05GH0166,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-20, seen by camera 2026-08-29T02:00:00"
DL05AB0167,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-08, seen by camera 2026-07-23T11:00:00"
UP16GH0168,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-16, seen by camera 2026-08-07T15:00:00"
DL01AB0169,UNINSURED — REPORT,HIGH,no insurance policy on record
UP16CD0170,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-11-12, never seen by a camera"
UP16AB0171,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
DL01CD0172,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-24, seen by camera 2026-09-04T04:00:00"
UP16EF0173,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-15, seen by camera 2026-09-04T01:00:00"
HR26AB0174,UNINSURED — REPORT,HIGH,latest policy ended 2026-06-24
HR26IJ0175,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-12, seen by camera 2026-07-09T01:00:00"
DL01GH0176,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-01, seen by camera 2026-08-27T16:00:00"
MH12AB0177,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-26, seen by camera 2026-07-23T20:00:00"
MH12AB0178,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-18, seen by camera 2026-08-25T14:00:00"
UP16EF0179,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-02, seen by camera 2026-09-01T01:00:00"
DL01AB0180,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-06, seen by camera 2026-08-16T19:00:00"
MH12CD0181,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-02, seen by camera 2026-07-22T06:00:00"
DL01IJ0182,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-30, seen by camera 2026-08-03T22:00:00"
DL05CD0183,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-21, seen by camera 2026-08-15T00:00:00"
UP16AB0184,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-15, seen by camera 2026-08-04T22:00:00"
MH12AB0185,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-06-29, never seen by a camera"
HR26CD0186,UNINSURED — REPORT,HIGH,no insurance policy on record
DL01CD0187,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-01, seen by camera 2026-08-04T16:00:00"
UP16IJ0188,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
DL01AB0189,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-25, seen by camera 2026-07-24T16:00:00"
HR26EF0190,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-30, seen by camera 2026-08-28T15:00:00"
HR26CD0191,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-13, seen by camera 2026-07-08T05:00:00"
DL01IJ0192,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-06-08
UP16GH0193,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-29, seen by camera 2026-08-14T02:00:00"
HR26IJ0194,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-07-20
DL01CD0195,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-08-05
MH12AB0196,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-03, seen by camera 2026-08-17T23:00:00"
UP16EF0197,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-28, seen by camera 2026-08-07T21:00:00"
MH12EF0198,UNINSURED — REPORT,HIGH,latest policy ended 2026-04-28
HR26GH0199,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-04, seen by camera 2026-07-30T15:00:00"
HR26CD0200,UNINSURED — REPORT,HIGH,no insurance policy on record
MH12EF0201,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-11-17, never seen by a camera"
UP16CD0202,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-27, seen by camera 2026-08-18T00:00:00"
UP16GH0203,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-16, seen by camera 2026-08-18T11:00:00"
HR26GH0204,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-24, seen by camera 2026-08-26T14:00:00"
MH12IJ0205,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
DL05GH0206,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-16, seen by camera 2026-08-02T19:00:00"
HR26AB0207,UNINSURED — REPORT,HIGH,no insurance policy on record
DL05GH0208,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-21, seen by camera 2026-08-05T13:00:00"
UP16CD0209,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-23, seen by camera 2026-07-25T22:00:00"
DL05CD0210,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-12, seen by camera 2026-08-31T10:00:00"
MH12AB0211,UNINSURED — REPORT,HIGH,no insurance policy on record
UP16AB0212,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-29, seen by camera 2026-09-03T09:00:00"
DL01GH0213,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-21, seen by camera 2026-08-28T00:00:00"
DL05GH0214,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
MH12IJ0215,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-31, seen by camera 2026-09-04T00:00:00"
MH12EF0216,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-11, seen by camera 2026-08-11T08:00:00"
HR26GH0217,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-03-04, never seen by a camera"
HR26EF0218,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-06, seen by camera 2026-08-25T13:00:00"
UP16CD0219,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-23, seen by camera 2026-08-17T23:00:00"
DL01IJ0220,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-06, seen by camera 2026-07-14T23:00:00"
DL01GH0221,UNINSURED — REPORT,HIGH,no insurance policy on record
HR26EF0222,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-07, seen by camera 2026-08-19T02:00:00"
UP16CD0223,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-25, seen by camera 2026-08-15T21:00:00"
MH12AB0224,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-03, seen by camera 2026-08-24T13:00:00"
MH12IJ0225,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-08, seen by camera 2026-09-04T08:00:00"
HR26IJ0226,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-08, seen by camera 2026-07-08T19:00:00"
UP16CD0227,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-16, seen by camera 2026-07-16T10:00:00"
MH12EF0228,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
MH12EF0229,UNINSURED — REPORT,HIGH,no insurance policy on record
HR26GH0230,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-07-15
UP16IJ0231,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-18, seen by camera 2026-08-06T19:00:00"
UP16EF0232,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-06-24
HR26GH0233,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-23, seen by camera 2026-08-27T13:00:00"
MH12GH0234,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-12, seen by camera 2026-08-31T16:00:00"
DL01GH0235,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-10, seen by camera 2026-08-31T09:00:00"
HR26IJ0236,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-07, seen by camera 2026-08-31T00:00:00"
DL05GH0237,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-26, seen by camera 2026-09-03T20:00:00"
MH12IJ0238,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-01-14, never seen by a camera"
DL05EF0239,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-03, seen by camera 2026-07-23T09:00:00"
DL01GH0240,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-12, seen by camera 2026-08-19T19:00:00"
DL05AB0241,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-07, seen by camera 2026-08-04T21:00:00"
MH12EF0242,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-04-08, never seen by a camera"
DL01EF0243,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-21, seen by camera 2026-08-14T07:00:00"
DL05AB0244,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-23, seen by camera 2026-08-05T18:00:00"
DL01CD0245,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-07, seen by camera 2026-08-06T13:00:00"
HR26AB0246,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-02-05, never seen by a camera"
DL05CD0247,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-08, seen by camera 2026-08-10T09:00:00"
MH12EF0248,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-08-29
